,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
23,2024-03-28 11:32:54+00:00,10000000.0,8.455217391304348,1.8451304347826087,0.1389130434782609,7.469130611419678,1.0160434782608696,1,100.0,0.0,1.0,34337.0,1.0,34446.0,354.625
31,2024-03-28 11:33:02+00:00,10000000.0,8.406666666666666,1.5060000000000002,0.15,6.179999828338623,1.0113333333333332,1,100.0,0.0,1.0,34373.0,1.0,34485.0,380.5
35,2024-03-28 11:33:06+00:00,10000000.0,8.416666666666666,1.748,0.14,6.179999828338623,1.0143333333333333,1,100.0,0.0,2.0,34339.0,2.0,34450.0,377.0
39,2024-03-28 11:33:10+00:00,10000000.0,8.32,2.0873333333333335,0.17,7.619999885559082,1.0053333333333334,1,100.0,0.0,2.0,34303.0,2.0,34411.0,386.0
43,2024-03-28 11:33:14+00:00,10000000.0,8.133333333333335,3.449666666666667,0.155,7.619999885559082,0.9876666666666667,1,100.0,0.0,2.0,34445.0,2.0,34554.0,353.0
47,2024-03-28 11:33:18+00:00,10000000.0,8.456666666666667,1.4853333333333332,0.14333333333333334,7.619999885559082,1.0146666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.5
51,2024-03-28 11:33:22+00:00,10000000.0,8.713333333333333,1.5970000000000002,0.18666666666666668,8.0,1.0366666666666668,1,100.0,0.0,2.0,34314.0,2.0,34416.0,401.5
55,2024-03-28 11:33:26+00:00,10000000.0,8.41,1.6693333333333333,0.17333333333333334,8.760000228881836,1.01,1,100.0,0.0,2.0,34338.0,2.0,34446.0,399.0
59,2024-03-28 11:33:30+00:00,10000000.0,8.49,1.4473333333333331,0.16,8.760000228881836,1.01,1,100.0,0.0,2.0,34610.0,2.0,34728.0,454.6666666666667
63,2024-03-28 11:33:34+00:00,10000000.0,8.44,2.2953333333333332,0.13,8.760000228881836,1.0146666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,333.0
67,2024-03-28 11:33:38+00:00,10000000.0,8.38,1.5483333333333331,0.12666666666666668,2.9200000762939453,1.015,1,100.0,0.0,2.0,34291.0,2.0,34411.0,390.6666666666667
71,2024-03-28 11:33:42+00:00,10000000.0,8.493333333333334,1.7260000000000002,0.17366666666666666,0.0,1.02,1,100.0,0.0,2.0,34385.0,2.0,34485.0,538.0
75,2024-03-28 11:33:46+00:00,10000000.0,8.43,1.7263333333333335,0.15666666666666665,0.0,1.0066666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,397.6666666666667
79,2024-03-28 11:33:50+00:00,10000000.0,8.4,2.0813333333333333,0.11866666666666666,0.0,1.0113333333333332,1,100.0,0.0,2.0,34385.0,2.0,34485.0,361.0
83,2024-03-28 11:33:54+00:00,10000000.0,8.409999999999998,1.6476666666666666,0.17200000000000001,11.220000267028809,1.0103333333333333,1,100.0,0.0,1.0,34266.0,1.0,34376.0,357.5
87,2024-03-28 11:33:58+00:00,10000000.0,8.303333333333333,1.9120000000000001,0.14733333333333334,11.220000267028809,1.006,1,100.0,0.0,2.0,33996.0,3.0,34103.0,389.0
91,2024-03-28 11:34:02+00:00,10000000.0,8.14,2.985333333333333,0.16,11.220000267028809,0.984,1,100.0,0.0,2.0,34753.0,2.0,34867.0,409.5
95,2024-03-28 11:34:06+00:00,10000000.0,8.203333333333333,2.4273333333333333,0.13333333333333333,11.220000267028809,0.9940000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.6666666666667
99,2024-03-28 11:34:10+00:00,10000000.0,8.456666666666665,1.7606666666666666,0.15333333333333332,10.170000076293945,1.0170000000000001,1,100.0,0.0,2.0,34243.0,2.0,34346.0,381.5
103,2024-03-28 11:34:14+00:00,10000000.0,8.093333333333334,2.4099999999999997,0.12266666666666666,10.170000076293945,0.9790000000000001,1,100.0,0.0,2.0,34468.0,2.0,34585.0,386.6666666666667
107,2024-03-28 11:34:18+00:00,10000000.0,8.623333333333335,1.6623333333333334,0.19000000000000003,10.170000076293945,1.03,1,100.0,0.0,2.0,34267.0,2.0,34381.0,463.0
111,2024-03-28 11:34:22+00:00,10000000.0,7.920000000000001,2.665,0.15,9.206666787465414,0.9583333333333334,1,100.0,0.0,2.0,34480.0,2.0,34589.0,417.6666666666667
119,2024-03-28 11:34:30+00:00,10000000.0,9.553333333333333,1.6356666666666666,0.09633333333333333,7.28000020980835,1.1353333333333333,1,100.0,0.0,2.0,34410.0,2.0,34515.0,247.0
123,2024-03-28 11:34:34+00:00,10000000.0,8.436666666666667,1.4996666666666665,0.15966666666666665,7.28000020980835,1.0116666666666665,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.0
127,2024-03-28 11:34:38+00:00,10000000.0,8.29,1.6653333333333336,0.18000000000000002,9.940000375111898,1.012,1,100.0,0.0,2.0,34445.0,2.0,34554.0,384.0
131,2024-03-28 11:34:42+00:00,10000000.0,8.4,1.8636666666666668,0.1433333333333333,11.270000457763672,1.0163333333333333,1,100.0,0.0,2.0,34339.0,2.0,34446.0,390.0
135,2024-03-28 11:34:46+00:00,10000000.0,8.213333333333333,1.6239999999999999,0.16,11.270000457763672,0.9936666666666668,1,100.0,0.0,1.0,34408.0,1.0,34520.0,427.0
139,2024-03-28 11:34:50+00:00,10000000.0,8.306666666666667,3.4423333333333335,0.1516666666666667,11.270000457763672,1.0050000000000001,1,100.0,0.0,2.0,34303.0,2.0,34416.0,345.5
143,2024-03-28 11:34:54+00:00,10000000.0,8.716666666666667,1.5783333333333334,0.15633333333333335,7.460000038146973,1.04,1,100.0,0.0,2.0,34267.0,2.0,34381.0,383.0
147,2024-03-28 11:34:58+00:00,10000000.0,8.450000000000001,2.0726666666666667,0.18000000000000002,7.460000038146973,1.0066666666666666,1,100.0,0.0,2.0,34516.0,2.0,34619.0,452.0
151,2024-03-28 11:35:02+00:00,10000000.0,8.433333333333334,3.2503333333333337,0.18000000000000002,7.460000038146973,1.0133333333333334,1,100.0,0.0,1.0,34373.0,1.0,34485.0,425.5
155,2024-03-28 11:35:06+00:00,10000000.0,8.423333333333332,1.705,0.11966666666666666,7.460000038146973,1.0123333333333333,1,100.0,0.0,2.0,34303.0,2.0,34416.0,364.5
159,2024-03-28 11:35:10+00:00,10000000.0,8.406666666666668,2.1626666666666665,0.1416666666666667,13.0600004196167,1.0090000000000001,1,100.0,0.0,2.0,34208.0,2.0,34311.0,375.0
167,2024-03-28 11:35:18+00:00,10000000.0,8.42,2.5453333333333332,0.18333333333333335,13.0600004196167,1.0093333333333334,1,100.0,0.0,1.0,34385.0,1.0,34485.0,290.6666666666667
171,2024-03-28 11:35:22+00:00,10000000.0,8.409999999999998,1.4806666666666668,0.15666666666666665,12.59000015258789,1.0033333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,337.0
179,2024-03-28 11:35:30+00:00,10000000.0,8.37,1.8076666666666668,0.16666666666666666,11.649999618530273,1.0046666666666666,1,100.0,0.0,2.0,34374.0,2.0,34480.0,363.0
183,2024-03-28 11:35:34+00:00,10000000.0,8.316666666666668,1.6740000000000002,0.11533333333333333,11.649999618530273,1.009,1,100.0,0.0,2.0,34374.0,2.0,34485.0,392.0
187,2024-03-28 11:35:38+00:00,10000000.0,8.39,1.7413333333333334,0.16,6.423333168029785,1.0153333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,341.5
195,2024-03-28 11:35:46+00:00,10000000.0,8.663333333333334,1.6593333333333333,0.17333333333333334,3.809999942779541,1.0413333333333332,1,100.0,0.0,2.0,34338.0,2.0,34446.0,342.0
203,2024-03-28 11:35:54+00:00,10000000.0,8.383333333333333,1.6260000000000001,0.15333333333333335,11.350000381469727,1.0153333333333332,1,100.0,0.0,2.0,34385.0,2.0,34485.0,388.5
207,2024-03-28 11:35:58+00:00,10000000.0,8.343333333333334,1.7033333333333331,0.15333333333333335,11.350000381469727,1.0090000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,410.5
211,2024-03-28 11:36:02+00:00,10000000.0,8.43,1.6376666666666668,0.17,11.350000381469727,1.0066666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,354.3333333333333
215,2024-03-28 11:36:06+00:00,10000000.0,8.12,2.2473333333333336,0.17,11.350000381469727,0.9846666666666666,1,100.0,0.0,2.0,34410.0,2.0,34520.0,328.5
219,2024-03-28 11:36:10+00:00,10000000.0,8.446666666666667,1.6136666666666668,0.15666666666666665,2.880000114440918,1.014,1,100.0,0.0,2.0,34303.0,2.0,34416.0,394.0
223,2024-03-28 11:36:14+00:00,10000000.0,8.36,1.912,0.15,2.880000114440918,1.014,1,100.0,0.0,2.0,34409.0,2.0,34520.0,368.5
227,2024-03-28 11:36:18+00:00,10000000.0,8.416666666666666,1.782333333333333,0.16,2.880000114440918,1.0136666666666667,1,100.0,0.0,2.0,34339.0,2.0,34446.0,391.5
231,2024-03-28 11:36:22+00:00,10000000.0,8.31,1.7636666666666667,0.17333333333333334,3.306666692097982,1.008,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.6666666666667
235,2024-03-28 11:36:26+00:00,10000000.0,8.056666666666667,1.8966666666666665,0.14,4.159999847412109,0.969,1,100.0,0.0,2.0,34374.0,2.0,34485.0,438.0
239,2024-03-28 11:36:30+00:00,10000000.0,8.420000000000002,1.7596666666666667,0.16666666666666666,4.159999847412109,1.0106666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,375.6666666666667
247,2024-03-28 11:36:38+00:00,10000000.0,8.396666666666667,1.7263333333333335,0.16233333333333333,1.3866666158040364,1.0113333333333332,1,100.0,0.0,1.0,34373.0,1.0,34485.0,369.5
251,2024-03-28 11:36:42+00:00,10000000.0,8.353333333333333,2.5496666666666665,0.116,0.0,1.0033333333333334,1,100.0,0.0,2.0,34314.0,2.0,34416.0,361.0
255,2024-03-28 11:36:46+00:00,10000000.0,9.14,1.226,0.09100000000000001,0.0,1.09,1,100.0,0.0,1.0,34373.0,1.0,34485.0,339.6666666666667
259,2024-03-28 11:36:50+00:00,10000000.0,8.12,1.59,0.16666666666666666,0.0,0.9846666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,455.0
263,2024-03-28 11:36:54+00:00,10000000.0,8.343333333333334,1.890666666666667,0.20666666666666667,6.309999942779541,1.0066666666666666,1,100.0,0.0,2.0,34303.0,2.0,34416.0,292.0
275,2024-03-28 11:37:06+00:00,10000000.0,8.293333333333335,1.766,0.15666666666666665,6.309999942779541,1.0053333333333334,1,100.0,0.0,2.0,34398.0,2.0,34515.0,399.6666666666667
283,2024-03-28 11:37:14+00:00,10000000.0,8.373333333333333,1.5183333333333333,0.14,10.220000267028809,1.0070000000000001,1,100.0,0.0,2.0,34445.0,2.0,34555.0,370.0
287,2024-03-28 11:37:18+00:00,10000000.0,8.33,2.2373333333333334,0.16333333333333333,10.220000267028809,1.0086666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,401.0
291,2024-03-28 11:37:22+00:00,10000000.0,8.406666666666666,1.6556666666666668,0.16333333333333333,6.8366668447852135,1.018,1,100.0,0.0,2.0,34339.0,2.0,34446.0,387.0
299,2024-03-28 11:37:30+00:00,10000000.0,8.823333333333332,2.015,0.15666666666666665,0.07000000029802322,1.05,1,100.0,0.0,1.0,34373.0,1.0,34485.0,397.0
303,2024-03-28 11:37:34+00:00,10000000.0,8.466666666666667,2.2279999999999998,0.16,0.07000000029802322,1.0170000000000001,1,100.0,0.0,2.0,34244.0,2.0,34346.0,375.0
307,2024-03-28 11:37:38+00:00,10000000.0,8.453333333333333,2.087666666666667,0.15666666666666665,6.970000050961971,1.0156666666666665,1,100.0,0.0,2.0,34504.0,2.0,34619.0,423.3333333333333
315,2024-03-28 11:37:46+00:00,10000000.0,8.406666666666666,1.9600000000000002,0.15666666666666668,10.420000076293945,1.0113333333333332,1,100.0,0.0,1.0,34385.0,1.0,34485.0,434.0
323,2024-03-28 11:37:54+00:00,10000000.0,8.623333333333333,1.6980000000000002,0.133,1.8799999952316284,1.035,1,100.0,0.0,2.0,34374.0,2.0,34481.0,386.0
331,2024-03-28 11:38:02+00:00,10000000.0,8.38,1.612,0.16,1.8799999952316284,1.0046666666666668,1,100.0,0.0,1.0,34515.0,1.0,34624.0,350.5
335,2024-03-28 11:38:06+00:00,10000000.0,8.136666666666665,3.229333333333333,0.14666666666666664,1.8799999952316284,0.9793333333333334,1,100.0,0.0,2.0,34303.0,2.0,34416.0,426.3333333333333
343,2024-03-28 11:38:14+00:00,10000000.0,8.313333333333333,1.9876666666666667,0.11046666666666667,1.909999966621399,1.0086666666666666,1,100.0,0.0,1.0,34373.0,1.0,34485.0,369.6666666666667
347,2024-03-28 11:38:18+00:00,10000000.0,8.47,2.85,0.15666666666666668,1.909999966621399,1.0243333333333335,1,100.0,0.0,2.0,34338.0,2.0,34450.0,354.0
351,2024-03-28 11:38:22+00:00,10000000.0,8.393333333333333,1.5670000000000002,0.16333333333333333,1.9333333174387615,1.017,1,100.0,0.0,2.0,34421.0,2.0,34520.0,397.3333333333333
355,2024-03-28 11:38:26+00:00,10000000.0,8.486666666666666,1.5906666666666667,0.1466666666666667,1.9800000190734863,1.021,1,100.0,0.0,2.0,34303.0,2.0,34411.0,363.5
359,2024-03-28 11:38:30+00:00,10000000.0,8.44,1.4556666666666667,0.19000000000000003,1.9800000190734863,1.0136666666666667,1,100.0,0.0,2.0,34410.0,2.0,34520.0,437.6666666666667
363,2024-03-28 11:38:34+00:00,10000000.0,8.476666666666667,2.2783333333333333,0.15666666666666665,1.9800000190734863,1.0176666666666667,1,100.0,0.0,2.0,34374.0,2.0,34485.0,350.6666666666667
379,2024-03-28 11:38:50+00:00,10000000.0,8.403333333333334,1.8033333333333335,0.15333333333333332,0.8999999761581421,1.0186666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,366.5
383,2024-03-28 11:38:54+00:00,10000000.0,8.473333333333334,1.9003333333333334,0.16666666666666666,4.760000228881836,1.017,1,100.0,0.0,2.0,34338.0,2.0,34450.0,336.0
387,2024-03-28 11:38:58+00:00,10000000.0,8.31,2.0196666666666663,0.15333333333333335,4.760000228881836,0.9996666666666666,1,100.0,0.0,1.0,34302.0,1.0,34411.0,383.5
395,2024-03-28 11:39:06+00:00,10000000.0,9.1,1.7753333333333334,0.13166666666666668,4.760000228881836,1.092,1,100.0,0.0,2.0,34314.0,2.0,34416.0,341.3333333333333
399,2024-03-28 11:39:10+00:00,10000000.0,8.409999999999998,2.029333333333333,0.15333333333333332,8.970000267028809,1.0123333333333333,1,100.0,0.0,2.0,34410.0,2.0,34520.0,383.6666666666667
403,2024-03-28 11:39:14+00:00,10000000.0,8.416666666666666,3.704,0.15333333333333332,8.970000267028809,1.01,1,100.0,0.0,2.0,34339.0,2.0,34446.0,343.6666666666667
411,2024-03-28 11:39:22+00:00,10000000.0,8.446666666666665,2.202,0.16666666666666666,5.980000178019206,1.0166666666666668,1,100.0,0.0,2.0,34374.0,2.0,34485.0,386.3333333333333
415,2024-03-28 11:39:26+00:00,10000000.0,8.43,2.015,0.1566666666666667,0.0,1.0103333333333333,1,100.0,0.0,2.0,34339.0,2.0,34450.0,373.6666666666667
419,2024-03-28 11:39:30+00:00,10000000.0,8.416666666666666,2.0576666666666665,0.16,0.0,1.0123333333333333,1,100.0,0.0,2.0,34303.0,2.0,34411.0,384.5
423,2024-03-28 11:39:34+00:00,10000000.0,8.35,2.0126666666666666,0.16666666666666666,0.0,1.0106666666666666,1,100.0,0.0,1.0,34337.0,1.0,34450.0,352.0
427,2024-03-28 11:39:38+00:00,10000000.0,8.386666666666667,2.207,0.141,6.1266663869222,1.0173333333333334,1,100.0,0.0,2.0,34445.0,2.0,34555.0,394.6666666666667
431,2024-03-28 11:39:42+00:00,10000000.0,8.403333333333334,2.090666666666667,0.16,9.1899995803833,1.0170000000000001,1,100.0,0.0,2.0,34303.0,2.0,34416.0,381.5
435,2024-03-28 11:39:46+00:00,10000000.0,8.426666666666668,1.9506666666666665,0.12433333333333334,9.1899995803833,1.0066666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,384.5
439,2024-03-28 11:39:50+00:00,10000000.0,8.459999999999999,1.6756666666666664,0.18000000000000002,9.1899995803833,1.0170000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,355.0
