,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number_x,ue_nr_kpm,_time_y,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_iperf,seq_nr,test_number,time_latency,ue_nr_latency,prb,noise_amplitude
0,2024-05-06 09:19:08,,,,,,,,,,,,,,,10M,1.97,3.383,0.0,0.0,1,0.24,1,,,,,25.0,-100.0
1,2024-05-06 09:19:09,,,,,,,,,,,,,,,10M,2.64,11.389,0.53,0.0,1,0.322,1,,,,,25.0,-100.0
2,2024-05-06 09:19:10,,,,,,,,,,,,,,,10M,2.7,4.46,0.69,0.0,1,0.329,1,,,,,25.0,-100.0
3,2024-05-06 09:19:11,,,,,,,,,,,,,,,10M,1.8,5.992,0.78,0.0,1,0.219,1,,,,,25.0,-100.0
4,2024-05-06 09:19:12,,,,,,,,,,,,,,,10M,892.0,14.649,0.72,0.0,1,0.109,1,,,,,25.0,-100.0
5,2024-05-06 09:19:13,,,,,,,,,,,,,,,10M,1.05,12.241,0.74,0.0,1,0.129,1,,,,,25.0,-100.0
6,2024-05-06 09:19:14,,,,,,,,,,,,,,,10M,605.0,17.547,0.83,0.0,1,0.0735,1,,,,,25.0,-100.0
7,2024-05-06 09:19:15,,,,,,,,,,,,,,,10M,463.0,14.221,0.87,0.0,1,0.056600000000000004,1,,,,,25.0,-100.0
8,2024-05-06 09:19:16,,,,,,,,,,,,,,,10M,1.03,10.161,0.91,0.0,1,0.126,1,,,,,25.0,-100.0
9,2024-05-06 09:19:17,,,,,,,,,,,,,,,10M,904.0,13.577,0.9,0.0,1,0.11,1,,,,,25.0,-100.0
10,2024-05-06 09:19:18,,,,,,,,,,,,,,,10M,695.0,42.414,0.96,0.0,1,0.0848,1,,,,,25.0,-100.0
11,2024-05-06 09:19:19,,,,,,,,,,,,,,,10M,626.0,15.622,0.89,0.0,1,0.07640000000000001,1,,,,,25.0,-100.0
12,2024-05-06 09:19:20,,,,,,,,,,,,,,,10M,637.0,15.793,0.9,0.0,1,0.0778,1,,,,,25.0,-100.0
13,2024-05-06 09:19:21,,,,,,,,,,,,,,,10M,741.0,11.262,0.91,0.0,1,0.0905,1,,,,,25.0,-100.0
14,2024-05-06 09:19:22,,,,,,,,,,,,,,,10M,834.0,25.558,0.93,0.0,1,0.102,1,,,,,25.0,-100.0
15,2024-05-06 09:19:23,,,,,,,,,,,,,,,10M,579.0,20.064,0.93,0.0,1,0.0707,1,,,,,25.0,-100.0
16,2024-05-06 09:19:24,,,,,,,,,,,,,,,10M,625.0,17.467,0.94,0.0,1,0.07640000000000001,1,,,,,25.0,-100.0
17,2024-05-06 09:19:25,,,,,,,,,,,,,,,10M,834.0,11.592,0.93,0.0,1,0.102,1,,,,,25.0,-100.0
18,2024-05-06 09:19:26,,,,,,,,,,,,,,,10M,857.0,11.645,0.89,0.0,1,0.105,1,,,,,25.0,-100.0
19,2024-05-06 09:19:27,,,,,,,,,,,,,,,10M,579.0,19.547,0.95,0.0,1,0.0707,1,,,,,25.0,-100.0
20,2024-05-06 09:19:28,,,,,,,,,,,,,,,10M,985.0,11.937,0.93,0.0,1,0.12,1,,,,,25.0,-100.0
21,2024-05-06 09:19:29,,,,,,,,,,,,,,,10M,1.11,14.367,0.92,0.0,1,0.136,1,,,,,25.0,-100.0
22,2024-05-06 09:19:30,,,,,,,,,,,,,,,10M,602.0,23.814,0.94,0.0,1,0.0735,1,8,1,3442,2,25.0,-100.0
23,2024-05-06 09:19:31,,,,,,,,,,,,,,,10M,857.0,12.432,0.92,0.0,1,0.105,1,14,1,3381,1,25.0,-100.0
24,2024-05-06 09:19:32,,,,,,,,,,,,,,,10M,822.0,10.856,0.88,0.0,1,0.1,1,,,,,25.0,-100.0
25,2024-05-06 09:19:33,,,,,,,,,,,,,,,10M,962.0,21.635,0.92,0.0,1,0.117,1,,,,,25.0,-100.0
26,2024-05-06 09:19:34,,,,,,,,,,,,,,,10M,707.0,14.732,0.92,0.0,1,0.0863,1,,,,,25.0,-100.0
27,2024-05-06 09:19:35,,,,,,,,,,,,,,,10M,892.0,20.8,0.91,0.0,1,0.109,1,,,,,25.0,-100.0
28,2024-05-06 09:19:36,,,,,,,,,,,,,,,10M,57.9,69.122,0.92,0.0,1,0.00707,1,,,,,25.0,-100.0
29,2024-05-06 09:19:37,,,,,,,,,,,,,,,10M,34.7,102.158,0.92,0.0,1,0.00424,1,,,,,25.0,-100.0
30,2024-05-06 09:19:38,,,,,,,,,,,,,,,10M,382.0,31.344,0.93,0.0,1,0.046700000000000005,1,,,,,25.0,-100.0
31,2024-05-06 09:19:39,,,,,,,,,,,,,,,10M,799.0,16.558,0.89,0.0,1,0.09759999999999999,1,,,,,25.0,-100.0
32,2024-05-06 09:19:40,,,,,,,,,,,,,,,10M,1.12,8.26,0.92,0.0,1,0.137,1,,,,,25.0,-100.0
33,2024-05-06 09:19:41,,,,,,,,,,,,,,,10M,822.0,78.19,0.98,0.0,1,0.1,1,,,,,25.0,-100.0
34,2024-05-06 09:19:42,,,,,,,,,,,,,,,10M,1.05,12.786,0.91,0.0,1,0.129,1,,,,,25.0,-100.0
35,2024-05-06 09:19:43,,,,,,,,,,,,,,,10M,672.0,10.733,0.89,0.0,1,0.082,1,,,,,25.0,-100.0
36,2024-05-06 09:19:44,,,,,,,,,,,,,,,10M,880.0,12.015,0.9,0.0,1,0.107,1,,,,,25.0,-100.0
37,2024-05-06 09:19:45,,,,,,,,,,,,,,,10M,973.0,8.198,0.9,0.0,1,0.119,1,,,,,25.0,-100.0
38,2024-05-06 09:19:46,,,,,,,,,,,,,,,10M,822.0,17.537,0.92,0.0,1,0.1,1,,,,,25.0,-100.0
39,2024-05-06 09:19:47,,,,,,,,,,,,,,,10M,857.0,14.092,0.92,0.0,1,0.105,1,,,,,25.0,-100.0
40,2024-05-06 09:19:48,,,,,,,,,,,,,,,10M,880.0,13.281,0.9,0.0,1,0.107,1,26,1,3618,2,25.0,-100.0
41,2024-05-06 09:19:49,,,,,,,,,,,,,,,10M,927.0,10.258,0.92,0.0,1,0.113,1,,,,,25.0,-100.0
42,2024-05-06 09:19:50,,,,,,,,,,,,,,,10M,1.08,12.948,0.91,0.0,1,0.132,1,,,,,25.0,-100.0
43,2024-05-06 09:19:51,,,,,,,,,,,,,,,10M,1.1,19.951,0.92,0.0,1,0.134,1,,,,,25.0,-100.0
44,2024-05-06 09:19:52,,,,,,,,,,,,,,,10M,904.0,11.873,0.9,0.0,1,0.11,1,,,,,25.0,-100.0
45,2024-05-06 09:19:53,,,,,,,,,,,,,,,10M,730.0,10.724,0.89,0.0,1,0.0891,1,,,,,25.0,-100.0
46,2024-05-06 09:19:54,,,,,,,,,,,,,,,10M,938.0,9.762,0.9,0.0,1,0.115,1,,,,,25.0,-100.0
47,2024-05-06 09:19:55,,,,,,,,,,,,,,,10M,776.0,16.098,0.86,0.0,1,0.0947,1,,,,,25.0,-100.0
48,2024-05-06 09:19:56,,,,,,,,,,,,,,,10M,1.08,18.641,0.93,0.0,1,0.132,1,,,,,25.0,-100.0
49,2024-05-06 09:19:57,,,,,,,,,,,,,,,10M,952.0,15.94,0.91,0.0,1,0.117,1,35,1,3274,2,25.0,-100.0
50,2024-05-06 09:19:58,,,,,,,,,,,,,,,10M,714.0,13.516,0.9,0.0,1,0.0863,1,,,,,25.0,-100.0
51,2024-05-06 09:19:59,,,,,,,,,,,,,,,10M,869.0,12.22,0.91,0.0,1,0.106,1,,,,,25.0,-100.0
52,2024-05-06 09:20:00,,,,,,,,,,,,,,,10M,857.0,13.799,0.9,0.0,1,0.105,1,,,,,25.0,-100.0
53,2024-05-06 09:20:01,,,,,,,,,,,,,,,10M,996.0,13.567,0.92,0.0,1,0.122,1,43,1,3455,1,25.0,-100.0
54,2024-05-06 09:20:02,,,,,,,,,,,,,,,10M,602.0,13.056,0.91,0.0,1,0.0735,1,,,,,25.0,-100.0
55,2024-05-06 09:20:03,,,,,,,,,,,,,,,10M,590.0,16.7,0.92,0.0,1,0.0721,1,,,,,25.0,-100.0
56,2024-05-06 09:20:04,,,,,,,,,,,,,,,10M,522.0,14.231,0.92,0.0,1,0.0636,1,45,1,4253,1,25.0,-100.0
57,2024-05-06 09:20:05,,,,,,,,,,,,,,,10M,672.0,11.54,0.9,0.0,1,0.082,1,38,1,4668,3,25.0,-100.0
58,2024-05-06 09:20:06,,,,,,,,,,,,,,,10M,799.0,15.335,0.91,0.0,1,0.09759999999999999,1,,,,,25.0,-100.0
59,2024-05-06 09:20:07,,,,,,,,,,,,,,,10M,1.01,17.373,0.94,0.0,1,0.123,1,,,,,25.0,-100.0
60,2024-05-06 09:20:08,,,,,,,,,,,,,,,10M,718.0,21.65,0.94,0.0,1,0.0877,1,,,,,25.0,-100.0
