,_time,bandwidth_required,bitrate,fading,jitter,lost_percentage,noise_amplitude,prb,test_number,transfer,ue_nr
40369,2024-07-06 18:32:00+00:00,1M,1.0,0,8.83,0.0,-16.5,52,36,0.122,1
40370,2024-07-06 18:32:01+00:00,1M,1.0,0,10.985,0.0,-16.5,52,36,0.122,1
40371,2024-07-06 18:32:02+00:00,1M,1.01,0,9.757,0.0,-16.5,52,36,0.123,1
40372,2024-07-06 18:32:03+00:00,1M,0.98,0,8.165,0.0,-16.5,52,36,0.12,1
40373,2024-07-06 18:32:04+00:00,1M,1.01,0,10.891,0.0,-16.5,52,36,0.123,1
40374,2024-07-06 18:32:05+00:00,1M,1.0,0,10.633,0.0,-16.5,52,36,0.122,1
40375,2024-07-06 18:32:06+00:00,1M,1.01,0,11.062,0.0,-16.5,52,36,0.123,1
40376,2024-07-06 18:32:07+00:00,1M,0.98,0,8.829,0.0,-16.5,52,36,0.12,1
40377,2024-07-06 18:32:08+00:00,1M,1.02,0,7.742,0.0,-16.5,52,36,0.124,1
40378,2024-07-06 18:32:09+00:00,1M,0.98,0,9.151,0.0,-16.5,52,36,0.12,1
40379,2024-07-06 18:32:10+00:00,1M,1.02,0,12.113,0.0,-16.5,52,36,0.124,1
40380,2024-07-06 18:32:11+00:00,1M,1.0,0,8.232,0.0,-16.5,52,36,0.122,1
40381,2024-07-06 18:32:12+00:00,1M,0.98,0,10.316,0.0,-16.5,52,36,0.12,1
40382,2024-07-06 18:32:13+00:00,1M,1.01,0,8.836,0.0,-16.5,52,36,0.123,1
40383,2024-07-06 18:32:14+00:00,1M,1.0,0,7.778,0.0,-16.5,52,36,0.122,1
40384,2024-07-06 18:32:15+00:00,1M,0.97,0,7.298,0.0,-27.3,52,36,0.119,1
40385,2024-07-06 18:32:16+00:00,1M,1.03,0,10.16,0.0,-27.3,52,36,0.126,1
40386,2024-07-06 18:32:17+00:00,1M,1.0,0,10.009,0.0,-27.3,52,36,0.122,1
40387,2024-07-06 18:32:18+00:00,1M,1.0,0,8.613,0.0,-27.3,52,36,0.122,1
40388,2024-07-06 18:32:19+00:00,1M,0.98,0,9.287,0.0,-27.3,52,36,0.12,1
40389,2024-07-06 18:32:20+00:00,1M,1.01,0,11.647,0.0,-27.3,52,36,0.123,1
40390,2024-07-06 18:32:21+00:00,1M,1.02,0,12.313,0.0,-27.3,52,36,0.124,1
40391,2024-07-06 18:32:22+00:00,1M,0.98,0,6.884,0.0,-27.3,52,36,0.12,1
40392,2024-07-06 18:32:23+00:00,1M,1.02,0,10.403,0.0,-27.3,52,36,0.124,1
40393,2024-07-06 18:32:24+00:00,1M,1.0,0,11.319,0.0,-27.3,52,36,0.122,1
40394,2024-07-06 18:32:25+00:00,1M,0.96,0,10.856,0.0,-27.3,52,36,0.117,1
40395,2024-07-06 18:32:26+00:00,1M,1.02,0,7.872,0.0,-27.3,52,36,0.124,1
40396,2024-07-06 18:32:27+00:00,1M,1.01,0,8.835,0.0,-27.3,52,36,0.123,1
40397,2024-07-06 18:32:28+00:00,1M,1.01,0,9.598,0.0,-27.3,52,36,0.123,1
40398,2024-07-06 18:32:29+00:00,1M,1.0,0,11.007,0.0,-27.3,52,36,0.122,1
40399,2024-07-06 18:32:30+00:00,1M,1.0,0,9.554,0.0,-27.3,52,36,0.122,1
40400,2024-07-06 18:32:31+00:00,1M,0.98,0,9.279,0.0,-27.3,52,36,0.12,1
40401,2024-07-06 18:32:32+00:00,1M,1.01,0,8.593,0.0,-27.3,52,36,0.123,1
40402,2024-07-06 18:32:33+00:00,1M,1.01,0,10.088,0.0,-27.3,52,36,0.123,1
40403,2024-07-06 18:32:34+00:00,1M,1.01,0,11.446,0.0,-27.3,52,36,0.123,1
40404,2024-07-06 18:32:35+00:00,1M,0.96,0,9.314,0.0,-27.3,52,36,0.117,1
40405,2024-07-06 18:32:36+00:00,1M,1.03,0,8.535,0.0,-27.3,52,36,0.126,1
40406,2024-07-06 18:32:37+00:00,1M,1.0,0,9.356,0.0,-27.3,52,36,0.122,1
40407,2024-07-06 18:32:38+00:00,1M,0.98,0,8.629,0.0,-27.3,52,36,0.12,1
40408,2024-07-06 18:32:39+00:00,1M,1.02,0,8.019,0.0,-27.3,52,36,0.124,1
40409,2024-07-06 18:32:40+00:00,1M,1.0,0,10.992,0.0,-27.3,52,36,0.122,1
40410,2024-07-06 18:32:41+00:00,1M,1.01,0,9.371,0.0,-27.3,52,36,0.123,1
40411,2024-07-06 18:32:42+00:00,1M,0.98,0,10.617,0.0,-27.3,52,36,0.12,1
40412,2024-07-06 18:32:43+00:00,1M,1.02,0,11.923,0.0,-27.3,52,36,0.124,1
40413,2024-07-06 18:32:44+00:00,1M,1.0,0,11.243,0.0,-27.3,52,36,0.122,1
40414,2024-07-06 18:32:45+00:00,1M,1.01,0,9.918,0.0,-27.3,52,36,0.123,1
40415,2024-07-06 18:32:46+00:00,1M,0.97,0,11.876,0.0,-27.3,52,36,0.119,1
40416,2024-07-06 18:32:47+00:00,1M,1.03,0,11.391,0.0,-27.3,52,36,0.126,1
40417,2024-07-06 18:32:48+00:00,1M,0.98,0,9.948,0.0,-27.3,52,36,0.12,1
40418,2024-07-06 18:32:49+00:00,1M,1.0,0,8.106,0.0,-27.3,52,36,0.122,1
40419,2024-07-06 18:32:50+00:00,1M,1.02,0,9.331,0.0,-27.3,52,36,0.124,1
40420,2024-07-06 18:32:51+00:00,1M,0.98,0,7.933,0.0,-27.3,52,36,0.12,1
40421,2024-07-06 18:32:52+00:00,1M,1.01,0,11.222,0.0,-27.3,52,36,0.123,1
40422,2024-07-06 18:32:53+00:00,1M,1.0,0,8.415,0.0,-27.3,52,36,0.122,1
40423,2024-07-06 18:32:54+00:00,1M,0.98,0,10.007,0.0,-27.3,52,36,0.12,1
40424,2024-07-06 18:32:55+00:00,1M,1.02,0,8.761,0.0,-27.3,52,36,0.124,1
40425,2024-07-06 18:32:56+00:00,1M,0.98,0,11.151,0.0,-27.3,52,36,0.12,1
40426,2024-07-06 18:32:57+00:00,1M,1.02,0,10.735,0.0,-27.3,52,36,0.124,1
40427,2024-07-06 18:32:58+00:00,1M,1.0,0,6.641,0.0,-27.3,52,36,0.122,1
40428,2024-07-06 18:32:59+00:00,1M,1.01,0,11.089,0.0,-27.3,52,36,0.123,1
40429,2024-07-06 18:33:00+00:00,1M,1.0,0,7.81,0.0,-27.3,52,36,0.122,1
40430,2024-07-06 18:33:01+00:00,1M,0.97,0,8.011,0.0,-27.3,52,36,0.119,1
40431,2024-07-06 18:33:02+00:00,1M,1.01,0,10.203,0.0,-27.3,52,36,0.123,1
40432,2024-07-06 18:33:03+00:00,1M,1.01,0,10.514,0.0,-27.3,52,36,0.123,1
40433,2024-07-06 18:33:04+00:00,1M,1.01,0,11.838,0.0,-27.3,52,36,0.123,1
40434,2024-07-06 18:33:05+00:00,1M,0.98,0,8.657,0.0,-27.3,52,36,0.12,1
40435,2024-07-06 18:33:06+00:00,1M,1.02,0,8.08,0.0,-27.3,52,36,0.124,1
40436,2024-07-06 18:33:07+00:00,1M,0.98,0,7.72,0.0,-27.3,52,36,0.12,1
40437,2024-07-06 18:33:08+00:00,1M,1.0,0,9.571,0.0,-27.3,52,36,0.122,1
40438,2024-07-06 18:33:09+00:00,1M,1.02,0,8.484,0.0,-27.3,52,36,0.124,1
40439,2024-07-06 18:33:10+00:00,1M,1.0,0,9.773,0.0,-27.3,52,36,0.122,1
40440,2024-07-06 18:33:11+00:00,1M,0.97,0,11.524,0.0,-27.3,52,36,0.119,1
40441,2024-07-06 18:33:12+00:00,1M,1.0,0,7.687,0.0,-27.3,52,36,0.122,1
40442,2024-07-06 18:33:13+00:00,1M,1.02,0,7.314,0.0,-27.3,52,36,0.124,1
40443,2024-07-06 18:33:14+00:00,1M,1.02,0,5.606,0.0,-27.3,52,36,0.124,1
40444,2024-07-06 18:33:15+00:00,1M,0.97,0,8.801,0.0,-19.0,52,36,0.119,1
40445,2024-07-06 18:33:16+00:00,1M,1.02,0,11.096,0.0,-19.0,52,36,0.124,1
40446,2024-07-06 18:33:17+00:00,1M,1.0,0,9.102,0.0,-19.0,52,36,0.122,1
40447,2024-07-06 18:33:18+00:00,1M,1.0,0,11.395,0.0,-19.0,52,36,0.122,1
40448,2024-07-06 18:33:19+00:00,1M,1.01,0,7.661,0.0,-19.0,52,36,0.123,1
40449,2024-07-06 18:33:20+00:00,1M,1.0,0,9.031,0.0,-19.0,52,36,0.122,1
