,_time,DRB.AirIfDelayUl,DRB.PacketSuccessRateUlgNBUu,DRB.RlcDelayUl,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,bandwidth_required,noise_amplitude,prb
25494,2024-07-06 18:32:00+00:00,30.0,100,3154.0,0,1,1125,1,1129,51,30,1,42,2024-07-06 18:32:00,36,1M,-16.5,52.0
25495,2024-07-06 18:32:01+00:00,30.0,100,3374.0,0,0,1124,0,1129,51,30,1,42,2024-07-06 18:32:01,36,1M,-16.5,52.0
25496,2024-07-06 18:32:02+00:00,30.0,100,3052.0,0,0,1112,0,1133,51,33,1,36,2024-07-06 18:32:02,36,1M,-16.5,52.0
25497,2024-07-06 18:32:03+00:00,30.0,100,2581.0,0,0,1124,0,1140,51,28,1,46,2024-07-06 18:32:03,36,1M,-16.5,52.0
25498,2024-07-06 18:32:04+00:00,30.0,100,2700.0,0,0,1089,0,1097,51,33,1,36,2024-07-06 18:32:04,36,1M,-16.5,52.0
25499,2024-07-06 18:32:06+00:00,30.0,100,2014.0,0,0,1124,0,1124,51,32,1,38,2024-07-06 18:32:06,36,1M,-16.5,52.0
25500,2024-07-06 18:32:07+00:00,30.0,100,3503.0,0,0,1101,0,1129,51,29,1,44,2024-07-06 18:32:07,36,1M,-16.5,52.0
25501,2024-07-06 18:32:08+00:00,30.0,100,3634.0,0,0,1136,0,1146,51,36,1,30,2024-07-06 18:32:08,36,1M,-16.5,52.0
25502,2024-07-06 18:32:09+00:00,30.0,100,3399.0,0,0,1148,0,1159,51,32,1,38,2024-07-06 18:32:09,36,1M,-16.5,52.0
25503,2024-07-06 18:32:10+00:00,30.0,100,3949.0,0,0,1136,0,1148,51,36,1,30,2024-07-06 18:32:10,36,1M,-16.5,52.0
25504,2024-07-06 18:32:11+00:00,30.0,100,3337.0,0,1,1149,1,1153,51,32,1,38,2024-07-06 18:32:11,36,1M,-16.5,52.0
25505,2024-07-06 18:32:12+00:00,30.0,100,3383.0,0,0,1124,0,1133,51,31,1,40,2024-07-06 18:32:12,36,1M,-16.5,52.0
25506,2024-07-06 18:32:13+00:00,30.0,100,2539.0,0,0,1136,0,1144,51,31,1,40,2024-07-06 18:32:13,36,1M,-16.5,52.0
25507,2024-07-06 18:32:14+00:00,30.0,100,3010.0,0,0,1112,0,1124,51,31,1,40,2024-07-06 18:32:14,36,1M,-16.5,52.0
25508,2024-07-06 18:32:16+00:00,30.0,100,2861.0,0,0,1124,0,1120,51,30,1,42,2024-07-06 18:32:16,36,1M,-27.3,52.0
25509,2024-07-06 18:32:17+00:00,30.0,100,2591.0,0,0,1207,0,1211,51,28,1,46,2024-07-06 18:32:17,36,1M,-27.3,52.0
25510,2024-07-06 18:32:18+00:00,30.0,100,2710.0,0,0,1101,0,1104,51,30,1,42,2024-07-06 18:32:18,36,1M,-27.3,52.0
25511,2024-07-06 18:32:19+00:00,30.0,100,2080.0,0,0,1112,0,1116,51,31,1,40,2024-07-06 18:32:19,36,1M,-27.3,52.0
25512,2024-07-06 18:32:20+00:00,30.0,100,3039.0,0,0,1136,0,1141,51,29,1,44,2024-07-06 18:32:20,36,1M,-27.3,52.0
