,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
0,2024-04-17 14:26:53+00:00,10M,6.72,2.912,0.0,10.0,1,0.82,1
1,2024-04-17 14:26:54+00:00,10M,6.89,1.946,0.067,10.0,1,0.841,1
2,2024-04-17 14:26:55+00:00,10M,8.33,1.169,0.3,10.0,1,1.017,1
3,2024-04-17 14:26:56+00:00,10M,8.92,2.285,0.075,10.0,1,1.06,1
4,2024-04-17 14:26:57+00:00,10M,2.75,4.884,0.0,10.0,1,0.335,1
5,2024-04-17 14:26:58+00:00,10M,4.4,2.629,0.7,10.0,1,0.537,1
6,2024-04-17 14:26:59+00:00,10M,3.97,2.759,0.49,10.0,1,0.484,1
7,2024-04-17 14:27:00+00:00,10M,4.53,2.969,0.58,10.0,1,0.553,1
8,2024-04-17 14:27:01+00:00,10M,4.07,4.39,0.59,10.0,1,0.496,1
9,2024-04-17 14:27:02+00:00,10M,3.62,5.132,0.6,10.0,1,0.443,1
10,2024-04-17 14:27:03+00:00,10M,4.46,3.277,0.61,10.0,1,0.544,1
11,2024-04-17 14:27:04+00:00,10M,2.85,3.049,0.51,10.0,1,0.348,1
12,2024-04-17 14:27:05+00:00,10M,1.99,15.676,0.71,10.0,1,0.243,1
13,2024-04-17 14:27:06+00:00,10M,2.13,7.138,0.74,10.0,1,0.26,1
14,2024-04-17 14:27:07+00:00,10M,2.88,2.815,0.81,10.0,1,0.352,1
15,2024-04-17 14:27:08+00:00,10M,2.81,4.603,0.72,10.0,1,0.344,1
16,2024-04-17 14:27:09+00:00,10M,1.89,6.978,0.73,10.0,1,0.23,1
17,2024-04-17 14:27:10+00:00,10M,1.8,11.85,0.73,10.0,1,0.219,1
18,2024-04-17 14:27:11+00:00,10M,2.92,12.501,0.82,10.0,1,0.356,1
19,2024-04-17 14:27:12+00:00,10M,2.31,4.664,0.72,10.0,1,0.281,1
20,2024-04-17 14:27:13+00:00,10M,1.9,9.229,0.79,10.0,1,0.232,1
21,2024-04-17 14:27:14+00:00,10M,2.33,7.194,0.7,10.0,1,0.284,1
22,2024-04-17 14:27:15+00:00,10M,2.58,4.679,0.81,10.0,1,0.315,1
23,2024-04-17 14:27:16+00:00,10M,2.57,4.039,0.76,10.0,1,0.314,1
24,2024-04-17 14:27:17+00:00,10M,2.04,8.27,0.74,10.0,1,0.249,1
25,2024-04-17 14:27:18+00:00,10M,2.68,5.364,0.77,10.0,1,0.327,1
26,2024-04-17 14:27:19+00:00,10M,2.47,3.977,0.76,10.0,1,0.301,1
27,2024-04-17 14:27:20+00:00,10M,1.93,5.496,0.69,10.0,1,0.236,1
28,2024-04-17 14:27:21+00:00,10M,1.9,8.68,0.79,10.0,1,0.232,1
29,2024-04-17 14:27:22+00:00,10M,2.31,5.748,0.8,10.0,1,0.281,1
30,2024-04-17 14:27:23+00:00,10M,1.96,5.462,0.81,10.0,1,0.239,1
31,2024-04-17 14:27:24+00:00,10M,1.83,8.331,0.76,10.0,1,0.223,1
32,2024-04-17 14:27:25+00:00,10M,2.37,8.789,0.81,10.0,1,0.29,1
33,2024-04-17 14:27:26+00:00,10M,2.64,5.827,0.79,10.0,1,0.322,1
34,2024-04-17 14:27:27+00:00,10M,2.37,6.649,0.69,10.0,1,0.29,1
35,2024-04-17 14:27:28+00:00,10M,2.5,4.283,0.78,10.0,1,0.305,1
36,2024-04-17 14:27:29+00:00,10M,2.31,3.214,0.76,10.0,1,0.281,1
