,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr
0,2024-04-17 14:45:31+00:00,100,0,0,11454,0,11492,100,100,100,100,2024-04-17 14:45:31,3,3
1,2024-04-17 14:45:36+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:45:36,3,3
2,2024-04-17 14:45:41+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:45:41,3,3
3,2024-04-17 14:45:48+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:45:48,3,3
4,2024-04-17 14:45:54+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:45:54,3,3
5,2024-04-17 14:46:00+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:46:00,3,3
6,2024-04-17 14:46:06+00:00,100,0,0,11418,0,11457,100,100,100,100,2024-04-17 14:46:06,3,3
7,2024-04-17 14:46:12+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:46:12,3,2
8,2024-04-17 14:46:13+00:00,100,0,0,11488,0,11526,100,100,100,100,2024-04-17 14:46:12,3,3
9,2024-04-17 14:46:21+00:00,100,0,2,11455,2,11491,100,100,100,100,2024-04-17 14:46:21,3,3
10,2024-04-17 14:46:27+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:46:27,3,3
11,2024-04-17 14:46:33+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:46:33,3,3
12,2024-04-17 14:46:39+00:00,100,0,0,11465,0,11491,100,100,100,100,2024-04-17 14:46:39,3,3
13,2024-04-17 14:46:45+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:46:45,3,3
14,2024-04-17 14:46:51+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:46:51,3,3
15,2024-04-17 14:46:57+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:46:57,3,3
16,2024-04-17 14:47:02+00:00,100,0,0,11489,0,11526,100,100,100,100,2024-04-17 14:47:02,3,3
17,2024-04-17 14:47:08+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:47:08,3,3
18,2024-04-17 14:47:13+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:47:13,3,3
19,2024-04-17 14:47:17+00:00,100,0,0,11488,0,11526,100,100,100,100,2024-04-17 14:47:17,3,3
20,2024-04-17 14:47:21+00:00,100,0,0,11454,0,11492,100,100,100,100,2024-04-17 14:47:21,3,3
21,2024-04-17 14:47:26+00:00,100,0,0,11465,0,11492,100,100,100,100,2024-04-17 14:47:26,3,3
22,2024-04-17 14:47:30+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:47:30,3,3
23,2024-04-17 14:47:35+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:47:35,3,3
24,2024-04-17 14:47:39+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:47:39,3,3
25,2024-04-17 14:47:43+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:47:43,3,3
26,2024-04-17 14:47:48+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:47:48,3,3
27,2024-04-17 14:47:53+00:00,100,0,0,11454,0,11492,100,100,100,100,2024-04-17 14:47:53,3,3
28,2024-04-17 14:47:57+00:00,100,0,0,11489,0,11526,100,100,100,100,2024-04-17 14:47:57,3,3
29,2024-04-17 14:48:02+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:48:02,3,3
30,2024-04-17 14:48:07+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:48:07,3,3
31,2024-04-17 14:48:13+00:00,100,0,0,11465,0,11492,100,100,100,100,2024-04-17 14:48:13,3,3
32,2024-04-17 14:48:19+00:00,100,0,0,11488,0,11526,100,100,100,100,2024-04-17 14:48:19,3,3
33,2024-04-17 14:48:24+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:48:24,3,3
34,2024-04-17 14:48:29+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:48:29,3,3
35,2024-04-17 14:48:33+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:48:33,3,3
36,2024-04-17 14:48:38+00:00,100,0,0,11489,0,11526,100,100,100,100,2024-04-17 14:48:38,3,3
37,2024-04-17 14:48:42+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:48:42,3,3
38,2024-04-17 14:48:47+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:48:47,3,3
39,2024-04-17 14:48:51+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:48:51,3,3
40,2024-04-17 14:48:56+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:48:56,3,3
41,2024-04-17 14:49:00+00:00,100,0,0,11465,0,11491,100,100,100,100,2024-04-17 14:49:00,3,3
42,2024-04-17 14:49:05+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:49:05,3,3
43,2024-04-17 14:49:10+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:49:10,3,3
44,2024-04-17 14:49:14+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:49:14,3,3
45,2024-04-17 14:49:19+00:00,100,0,0,11454,0,11491,100,100,100,100,2024-04-17 14:49:19,3,3
46,2024-04-17 14:49:24+00:00,100,0,1,11490,1,11526,100,100,100,100,2024-04-17 14:49:24,3,3
47,2024-04-17 14:49:29+00:00,100,0,2,11455,2,11491,100,100,100,100,2024-04-17 14:49:29,3,3
48,2024-04-17 14:49:33+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:49:33,3,3
49,2024-04-17 14:49:37+00:00,100,0,0,11477,0,11508,100,100,100,100,2024-04-17 14:49:37,3,3
50,2024-04-17 14:49:41+00:00,100,0,0,11477,0,11517,100,100,100,100,2024-04-17 14:49:41,3,3
51,2024-04-17 14:49:46+00:00,100,0,1,11454,1,11491,100,100,100,100,2024-04-17 14:49:46,3,3
52,2024-04-17 14:49:51+00:00,100,0,0,11453,0,11492,100,100,100,100,2024-04-17 14:49:51,3,3
