,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr,bandwidth_required,noise_amplitude,prb
0,2024-06-17 15:27:11+00:00,100,0,0,1479,0,1475,51,26,1,50,2024-06-17 15:27:11,1,1,1M,-100.0,52.0
1,2024-06-17 15:27:13+00:00,100,0,1,1350,1,1354,51,31,1,40,2024-06-17 15:27:13,1,1,1M,-100.0,52.0
2,2024-06-17 15:27:14+00:00,100,0,0,1432,0,1438,51,33,1,36,2024-06-17 15:27:14,1,1,1M,-100.0,52.0
3,2024-06-17 15:27:15+00:00,100,0,1,1468,1,1473,51,31,1,40,2024-06-17 15:27:15,1,1,1M,-100.0,52.0
4,2024-06-17 15:27:17+00:00,100,0,0,1491,0,1497,51,32,1,38,2024-06-17 15:27:17,1,1,1M,-100.0,52.0
5,2024-06-17 15:27:18+00:00,100,0,0,1396,0,1405,51,30,1,42,2024-06-17 15:27:18,1,1,1M,-100.0,52.0
6,2024-06-17 15:27:20+00:00,100,0,1,1433,1,1435,51,29,1,44,2024-06-17 15:27:20,1,1,1M,-100.0,52.0
7,2024-06-17 15:27:21+00:00,100,0,0,1385,0,1390,51,31,1,40,2024-06-17 15:27:21,1,1,1M,-100.0,52.0
8,2024-06-17 15:27:22+00:00,100,0,0,1373,0,1383,51,36,1,30,2024-06-17 15:27:22,1,1,1M,-100.0,52.0
9,2024-06-17 15:27:24+00:00,100,0,1,1397,1,1397,51,30,1,42,2024-06-17 15:27:24,1,1,1M,-100.0,52.0
10,2024-06-17 15:27:25+00:00,100,0,0,1396,0,1401,51,31,1,40,2024-06-17 15:27:25,1,1,1M,-100.0,52.0
11,2024-06-17 15:27:27+00:00,100,0,1,1362,1,1367,51,29,1,44,2024-06-17 15:27:27,1,1,1M,-100.0,52.0
12,2024-06-17 15:27:28+00:00,100,0,0,1432,0,1441,51,29,1,44,2024-06-17 15:27:28,1,1,1M,-100.0,52.0
13,2024-06-17 15:27:29+00:00,100,0,0,1408,0,1415,51,35,1,32,2024-06-17 15:27:29,1,1,1M,-100.0,52.0
14,2024-06-17 15:27:31+00:00,100,0,1,1563,1,1572,51,31,1,40,2024-06-17 15:27:31,1,1,1M,-100.0,52.0
15,2024-06-17 15:27:32+00:00,100,0,0,1385,0,1382,51,34,1,34,2024-06-17 15:27:32,1,1,1M,-100.0,52.0
16,2024-06-17 15:27:34+00:00,100,0,1,1397,1,1402,51,31,1,40,2024-06-17 15:27:34,1,1,1M,-100.0,52.0
17,2024-06-17 15:27:35+00:00,100,0,0,1420,0,1426,51,33,1,36,2024-06-17 15:27:35,1,1,1M,-100.0,52.0
18,2024-06-17 15:27:36+00:00,100,0,0,1515,0,1520,51,30,1,42,2024-06-17 15:27:36,1,1,1M,-100.0,52.0
19,2024-06-17 15:27:38+00:00,100,0,1,1409,1,1415,51,30,1,42,2024-06-17 15:27:38,1,1,1M,-100.0,52.0
20,2024-06-17 15:27:39+00:00,100,0,0,1432,0,1437,51,32,1,38,2024-06-17 15:27:39,1,1,1M,-100.0,52.0
21,2024-06-17 15:27:41+00:00,100,0,1,1362,1,1376,51,30,1,42,2024-06-17 15:27:41,1,1,1M,-100.0,52.0
22,2024-06-17 15:27:42+00:00,100,0,0,1396,0,1392,51,32,1,38,2024-06-17 15:27:42,1,1,1M,-100.0,52.0
23,2024-06-17 15:27:44+00:00,100,0,1,1634,1,1640,51,34,1,34,2024-06-17 15:27:44,1,1,1M,-100.0,52.0
24,2024-06-17 15:27:45+00:00,100,0,0,1503,0,1514,51,28,1,46,2024-06-17 15:27:45,1,1,1M,-100.0,52.0
25,2024-06-17 15:27:47+00:00,100,0,0,1444,0,1445,51,34,1,34,2024-06-17 15:27:47,1,1,1M,-100.0,52.0
26,2024-06-17 15:27:48+00:00,100,0,1,1575,1,1580,51,30,1,42,2024-06-17 15:27:48,1,1,1M,-100.0,52.0
27,2024-06-17 15:27:49+00:00,100,0,0,1396,0,1402,51,31,1,40,2024-06-17 15:27:49,1,1,1M,-100.0,52.0
28,2024-06-17 15:27:51+00:00,100,0,1,1397,1,1402,51,31,1,40,2024-06-17 15:27:51,1,1,1M,-100.0,52.0
29,2024-06-17 15:27:52+00:00,100,0,0,1444,0,1449,51,32,1,38,2024-06-17 15:27:52,1,1,1M,-100.0,52.0
30,2024-06-17 15:27:53+00:00,100,0,0,1373,0,1378,51,32,1,38,2024-06-17 15:27:53,1,1,1M,-100.0,52.0
31,2024-06-17 15:27:55+00:00,100,0,1,1385,1,1392,51,36,1,30,2024-06-17 15:27:55,1,1,1M,-100.0,52.0
32,2024-06-17 15:27:56+00:00,100,0,0,1349,0,1354,51,30,1,42,2024-06-17 15:27:56,1,1,1M,-100.0,52.0
33,2024-06-17 15:27:57+00:00,100,0,1,1468,1,1474,51,33,1,36,2024-06-17 15:27:57,1,1,1M,-100.0,52.0
34,2024-06-17 15:27:59+00:00,100,0,0,1337,0,1346,51,33,1,36,2024-06-17 15:27:59,1,1,1M,-100.0,52.0
35,2024-06-17 15:28:00+00:00,100,0,0,1337,0,1340,51,35,1,32,2024-06-17 15:28:00,1,1,1M,-100.0,52.0
36,2024-06-17 15:28:01+00:00,100,0,0,1396,0,1401,51,32,1,38,2024-06-17 15:28:01,1,1,1M,-100.0,52.0
37,2024-06-17 15:28:03+00:00,100,0,1,1373,1,1378,51,32,1,38,2024-06-17 15:28:03,1,1,1M,-100.0,52.0
38,2024-06-17 15:28:04+00:00,100,0,0,1349,0,1354,51,34,1,34,2024-06-17 15:28:04,1,1,1M,-100.0,52.0
39,2024-06-17 15:28:05+00:00,100,0,1,1373,1,1378,51,33,1,36,2024-06-17 15:28:05,1,1,1M,-100.0,52.0
40,2024-06-17 15:28:07+00:00,100,0,0,1373,0,1378,51,31,1,40,2024-06-17 15:28:07,1,1,1M,-100.0,52.0
41,2024-06-17 15:28:08+00:00,100,0,0,1444,0,1449,51,32,1,38,2024-06-17 15:28:08,1,1,1M,-100.0,52.0
42,2024-06-17 15:28:10+00:00,100,0,1,1350,1,1359,51,27,1,48,2024-06-17 15:28:10,1,1,1M,-100.0,52.0
43,2024-06-17 15:28:11+00:00,100,0,0,1396,0,1398,51,31,1,40,2024-06-17 15:28:11,1,1,1M,-100.0,52.0
44,2024-06-17 15:28:27+00:00,100,0,6,5874,6,5894,51,30,1,42,2024-06-17 15:28:27,1,1,1M,-28.0,52.0
45,2024-06-17 15:28:28+00:00,100,0,0,1550,0,1557,51,19,1,63,2024-06-17 15:28:28,1,1,1M,-28.0,52.0
46,2024-06-17 15:28:30+00:00,100,0,1,1740,1,1747,51,33,1,36,2024-06-17 15:28:30,1,1,1M,-28.0,52.0
47,2024-06-17 15:28:31+00:00,100,0,0,1444,0,1450,51,33,1,36,2024-06-17 15:28:31,1,1,1M,-28.0,52.0
48,2024-06-17 15:28:33+00:00,100,0,1,1575,1,1590,51,31,1,40,2024-06-17 15:28:33,1,1,1M,-28.0,52.0
49,2024-06-17 15:28:34+00:00,100,0,0,1361,0,1357,51,34,1,34,2024-06-17 15:28:34,1,1,1M,-28.0,52.0
50,2024-06-17 15:28:36+00:00,100,0,0,1385,0,1390,51,33,1,36,2024-06-17 15:28:36,1,1,1M,-28.0,52.0
51,2024-06-17 15:28:37+00:00,100,0,1,1397,1,1402,51,32,1,38,2024-06-17 15:28:37,1,1,1M,-28.0,52.0
52,2024-06-17 15:28:38+00:00,100,0,0,1444,0,1453,51,25,1,51,2024-06-17 15:28:38,1,1,1M,-28.0,52.0
53,2024-06-17 15:28:40+00:00,100,0,1,1444,1,1446,51,36,1,30,2024-06-17 15:28:40,1,1,1M,-28.0,52.0
54,2024-06-17 15:28:41+00:00,100,0,0,1373,0,1382,51,31,1,40,2024-06-17 15:28:41,1,1,1M,-28.0,52.0
55,2024-06-17 15:28:43+00:00,100,0,0,1491,0,1493,51,31,1,40,2024-06-17 15:28:43,1,1,1M,-28.0,52.0
56,2024-06-17 15:28:44+00:00,100,0,1,1397,1,1403,51,33,1,36,2024-06-17 15:28:44,1,1,1M,-28.0,52.0
57,2024-06-17 15:28:45+00:00,100,0,0,1456,0,1461,51,32,1,38,2024-06-17 15:28:45,1,1,1M,-28.0,52.0
58,2024-06-17 15:28:47+00:00,100,0,1,1563,1,1569,51,30,1,42,2024-06-17 15:28:47,1,1,1M,-28.0,52.0
59,2024-06-17 15:28:48+00:00,100,0,0,1444,0,1450,51,35,1,32,2024-06-17 15:28:48,1,1,1M,-28.0,52.0
60,2024-06-17 15:28:54+00:00,100,0,3,4795,3,4811,51,20,1,61,2024-06-17 15:28:54,1,1,1M,-28.0,52.0
61,2024-06-17 15:28:55+00:00,100,0,0,1385,0,1403,51,29,1,44,2024-06-17 15:28:55,1,1,1M,-28.0,52.0
62,2024-06-17 15:28:57+00:00,100,0,0,1444,0,1447,51,35,1,32,2024-06-17 15:28:57,1,1,1M,-28.0,52.0
63,2024-06-17 15:28:58+00:00,100,0,1,1563,1,1559,51,28,1,46,2024-06-17 15:28:58,1,1,1M,-28.0,52.0
64,2024-06-17 15:29:00+00:00,100,0,0,1337,0,1346,51,29,1,44,2024-06-17 15:29:00,1,1,1M,-28.0,52.0
65,2024-06-17 15:29:01+00:00,100,0,1,1468,1,1473,51,31,1,40,2024-06-17 15:29:01,1,1,1M,-28.0,52.0
66,2024-06-17 15:29:03+00:00,100,0,0,1396,0,1397,51,32,1,38,2024-06-17 15:29:03,1,1,1M,-28.0,52.0
67,2024-06-17 15:29:05+00:00,100,0,1,2071,1,2087,51,27,1,48,2024-06-17 15:29:05,1,1,1M,-28.0,52.0
68,2024-06-17 15:29:06+00:00,100,0,1,1598,1,1596,51,32,1,38,2024-06-17 15:29:06,1,1,1M,-28.0,52.0
69,2024-06-17 15:29:08+00:00,100,0,0,1515,0,1520,51,29,1,44,2024-06-17 15:29:08,1,1,1M,-28.0,52.0
70,2024-06-17 15:29:09+00:00,100,0,1,1456,1,1462,51,30,1,42,2024-06-17 15:29:09,1,1,1M,-28.0,52.0
