,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
0,2024-03-28 11:32:54+00:00,100,0,1,34337,1,34446
1,2024-03-28 11:32:58+00:00,100,0,2,34374,2,34485
2,2024-03-28 11:33:02+00:00,100,0,1,34373,1,34485
3,2024-03-28 11:33:06+00:00,100,0,2,34339,2,34450
4,2024-03-28 11:33:10+00:00,100,0,2,34303,2,34411
5,2024-03-28 11:33:14+00:00,100,0,2,34445,2,34554
6,2024-03-28 11:33:18+00:00,100,0,2,34374,2,34485
7,2024-03-28 11:33:22+00:00,100,0,2,34314,2,34416
8,2024-03-28 11:33:26+00:00,100,0,2,34338,2,34446
9,2024-03-28 11:33:30+00:00,100,0,2,34610,2,34728
10,2024-03-28 11:33:34+00:00,100,0,2,34374,2,34485
11,2024-03-28 11:33:38+00:00,100,0,2,34291,2,34411
12,2024-03-28 11:33:42+00:00,100,0,2,34385,2,34485
13,2024-03-28 11:33:46+00:00,100,0,2,34374,2,34485
14,2024-03-28 11:33:50+00:00,100,0,2,34385,2,34485
15,2024-03-28 11:33:54+00:00,100,0,1,34266,1,34376
16,2024-03-28 11:33:58+00:00,100,0,2,33996,3,34103
17,2024-03-28 11:34:02+00:00,100,0,2,34753,2,34867
18,2024-03-28 11:34:06+00:00,100,0,2,34374,2,34485
19,2024-03-28 11:34:10+00:00,100,0,2,34243,2,34346
20,2024-03-28 11:34:14+00:00,100,0,2,34468,2,34585
21,2024-03-28 11:34:18+00:00,100,0,2,34267,2,34381
22,2024-03-28 11:34:22+00:00,100,0,2,34480,2,34589
23,2024-03-28 11:34:26+00:00,100,0,2,34209,2,34311
24,2024-03-28 11:34:30+00:00,100,0,2,34410,2,34515
25,2024-03-28 11:34:34+00:00,100,0,2,34374,2,34485
26,2024-03-28 11:34:38+00:00,100,0,2,34445,2,34554
27,2024-03-28 11:34:42+00:00,100,0,2,34339,2,34446
28,2024-03-28 11:34:46+00:00,100,0,1,34408,1,34520
29,2024-03-28 11:34:50+00:00,100,0,2,34303,2,34416
30,2024-03-28 11:34:54+00:00,100,0,2,34267,2,34381
31,2024-03-28 11:34:58+00:00,100,0,2,34516,2,34619
32,2024-03-28 11:35:02+00:00,100,0,1,34373,1,34485
33,2024-03-28 11:35:06+00:00,100,0,2,34303,2,34416
34,2024-03-28 11:35:10+00:00,100,0,2,34208,2,34311
35,2024-03-28 11:35:14+00:00,100,0,1,34539,1,34654
36,2024-03-28 11:35:18+00:00,100,0,1,34385,1,34485
37,2024-03-28 11:35:22+00:00,100,0,2,34374,2,34485
38,2024-03-28 11:35:26+00:00,100,0,2,34374,2,34485
39,2024-03-28 11:35:30+00:00,100,0,2,34374,2,34480
40,2024-03-28 11:35:34+00:00,100,0,2,34374,2,34485
41,2024-03-28 11:35:38+00:00,100,0,2,34374,2,34485
42,2024-03-28 11:35:42+00:00,100,0,2,34339,2,34450
43,2024-03-28 11:35:46+00:00,100,0,2,34338,2,34446
44,2024-03-28 11:35:50+00:00,100,0,2,34374,2,34485
45,2024-03-28 11:35:54+00:00,100,0,2,34385,2,34485
46,2024-03-28 11:35:58+00:00,100,0,2,34374,2,34485
47,2024-03-28 11:36:02+00:00,100,0,2,34338,2,34446
48,2024-03-28 11:36:06+00:00,100,0,2,34410,2,34520
49,2024-03-28 11:36:10+00:00,100,0,2,34303,2,34416
50,2024-03-28 11:36:14+00:00,100,0,2,34409,2,34520
51,2024-03-28 11:36:18+00:00,100,0,2,34339,2,34446
52,2024-03-28 11:36:22+00:00,100,0,2,34374,2,34485
53,2024-03-28 11:36:26+00:00,100,0,2,34374,2,34485
54,2024-03-28 11:36:30+00:00,100,0,2,34374,2,34485
55,2024-03-28 11:36:34+00:00,100,0,2,34339,2,34446
56,2024-03-28 11:36:38+00:00,100,0,1,34373,1,34485
57,2024-03-28 11:36:42+00:00,100,0,2,34314,2,34416
58,2024-03-28 11:36:46+00:00,100,0,1,34373,1,34485
59,2024-03-28 11:36:50+00:00,100,0,2,34338,2,34446
60,2024-03-28 11:36:54+00:00,100,0,2,34303,2,34416
61,2024-03-28 11:36:58+00:00,100,0,1,34373,1,34485
62,2024-03-28 11:37:02+00:00,100,0,1,34314,1,34416
63,2024-03-28 11:37:06+00:00,100,0,2,34398,2,34515
64,2024-03-28 11:37:10+00:00,100,0,2,34314,2,34416
