,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_x,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr_y
57,2024-04-19 10:04:20+00:00,59,1,1877.32,3,10M,95.15,11.3,0.8,10.0,1,0.22,2,100,0,0,11465,0,11492,51,5,1,90,2024-04-19 10:04:20,1,1
63,2024-04-19 10:04:24+00:00,65,1,1228.5,1,10M,2.45,4.25,0.73,10.0,1,0.3,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:04:24,1,1
96,2024-04-19 10:04:47+00:00,85,1,1392.67,2,10M,2.16,9.53,0.77,10.0,1,0.26,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:04:47,1,1
105,2024-04-19 10:04:54+00:00,93,1,1837.33,2,10M,1.38,13.05,0.83,10.0,1,0.17,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:04:54,1,1
113,2024-04-19 10:05:00+00:00,98,1,1744.0,2,10M,1.83,7.76,0.8,10.0,1,0.22,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:05:00,1,1
140,2024-04-19 10:05:21+00:00,117,1,1642.6,3,10M,142.59,8.7,0.77,10.0,1,0.21,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:05:21,1,1
161,2024-04-19 10:05:38+00:00,134,1,2222.5,3,10M,137.06,11.2,0.86,10.0,1,0.18,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:05:38,1,1
187,2024-04-19 10:05:58+00:00,155,1,1834.75,3,10M,1.85,11.15,0.84,10.0,1,0.23,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:05:58,1,1
210,2024-04-19 10:06:15+00:00,173,1,1052.0,1,10M,2.42,6.17,0.79,10.0,1,0.29,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:06:15,1,1
253,2024-04-19 10:06:45+00:00,202,1,1047.0,2,10M,2.81,5.91,0.73,10.0,1,0.34,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:06:45,1,1
259,2024-04-19 10:06:49+00:00,205,1,1066.0,3,10M,2.88,6.3,0.72,10.0,1,0.35,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:06:49,1,1
272,2024-04-19 10:06:58+00:00,216,1,1200.5,1,10M,2.66,6.59,0.72,10.0,1,0.32,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:06:57,1,1
291,2024-04-19 10:07:11+00:00,227,1,1017.0,2,10M,3.15,2.96,0.7,10.0,1,0.38,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:07:11,1,1
298,2024-04-19 10:07:16+00:00,234,1,1153.33,1,10M,2.61,9.32,0.73,10.0,1,0.32,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:07:16,1,1
304,2024-04-19 10:07:20+00:00,235,1,1356.0,3,10M,2.73,7.42,0.73,10.0,1,0.33,2,100,0,0,11454,0,11492,51,5,1,90,2024-04-19 10:07:20,1,1
311,2024-04-19 10:07:25+00:00,241,1,1094.0,2,10M,2.21,8.26,0.76,10.0,1,0.27,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:07:25,1,1
317,2024-04-19 10:07:29+00:00,244,1,1036.5,3,10M,2.48,5.45,0.73,10.0,1,0.3,2,100,0,0,11465,0,11491,51,5,1,90,2024-04-19 10:07:29,1,1
336,2024-04-19 10:07:42+00:00,257,1,1104.33,3,10M,2.96,6.39,0.7,10.0,1,0.36,2,100,0,0,11430,0,11464,51,6,1,88,2024-04-19 10:07:42,1,1
342,2024-04-19 10:07:46+00:00,261,1,1461.5,3,10M,2.23,7.45,0.75,10.0,1,0.27,2,100,0,0,11430,0,11464,51,6,1,88,2024-04-19 10:07:46,1,1
363,2024-04-19 10:08:01+00:00,275,1,1269.33,3,10M,2.35,8.21,0.76,10.0,1,0.29,2,100,0,0,11430,0,11464,51,6,1,88,2024-04-19 10:08:01,1,1
429,2024-04-19 10:08:47+00:00,321,1,1370.0,2,10M,2.29,5.73,0.77,10.0,1,0.28,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:08:47,1,1
435,2024-04-19 10:08:51+00:00,325,1,1218.33,3,10M,2.63,8.21,0.74,10.0,1,0.32,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:08:51,1,1
442,2024-04-19 10:08:56+00:00,330,1,1000.5,2,10M,2.75,6.78,0.73,10.0,1,0.34,2,100,0,2,11455,2,11491,51,5,1,90,2024-04-19 10:08:55,1,1
448,2024-04-19 10:09:00+00:00,334,1,1439.0,2,10M,2.21,6.61,0.78,10.0,1,0.27,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:09:00,1,1
460,2024-04-19 10:09:09+00:00,343,1,1241.33,2,10M,2.83,4.29,0.74,10.0,1,0.34,2,100,0,2,11490,2,11526,51,5,1,90,2024-04-19 10:09:09,1,1
487,2024-04-19 10:09:28+00:00,361,1,1532.0,3,10M,2.12,8.17,0.8,10.0,1,0.26,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:09:28,1,1
500,2024-04-19 10:09:38+00:00,373,1,1538.0,1,10M,2.33,6.93,0.71,10.0,1,0.28,2,100,0,0,11465,0,11492,51,5,1,90,2024-04-19 10:09:38,1,1
582,2024-04-19 10:10:37+00:00,429,1,1278.67,3,10M,2.18,6.52,0.78,10.0,1,0.27,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:10:37,1,1
624,2024-04-19 10:11:07+00:00,458,1,1390.67,3,10M,2.61,8.91,0.77,10.0,1,0.32,2,100,0,2,11455,2,11491,51,5,1,90,2024-04-19 10:11:07,1,1
630,2024-04-19 10:11:12+00:00,463,1,1296.67,2,10M,2.27,7.09,0.78,10.0,1,0.28,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:11:12,1,1
643,2024-04-19 10:11:22+00:00,473,1,1254.0,2,10M,2.48,7.4,0.76,10.0,1,0.3,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:11:22,1,1
650,2024-04-19 10:11:27+00:00,477,1,1341.0,3,10M,1.97,9.28,0.77,10.0,1,0.24,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:11:27,1,1
671,2024-04-19 10:11:42+00:00,493,1,1050.0,2,10M,2.52,4.52,0.76,10.0,1,0.31,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:11:42,1,1
691,2024-04-19 10:11:56+00:00,507,1,1589.0,2,10M,1.97,6.76,0.79,10.0,1,0.24,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:11:56,1,1
705,2024-04-19 10:12:06+00:00,517,1,1347.0,2,10M,2.52,9.44,0.79,10.0,1,0.31,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:12:06,1,1
