,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
23,10000000.0,8.455217391304348,1.8451304347826087,0.1389130434782609,7.469130611419678,1.0160434782608696,1,100.0,0.0,1.0,34337.0,1.0,34446.0,354.625
31,10000000.0,8.41,1.6234285714285714,0.14314285714285718,6.179999828338623,1.0111428571428571,1,100.0,0.0,1.0,34373.0,1.0,34485.0,367.6666666666667
35,10000000.0,8.416666666666666,1.748,0.14,6.179999828338623,1.0143333333333333,1,100.0,0.0,2.0,34339.0,2.0,34450.0,377.0
39,10000000.0,8.32,2.0873333333333335,0.17,7.619999885559082,1.0053333333333334,1,100.0,0.0,2.0,34303.0,2.0,34411.0,386.0
43,10000000.0,8.133333333333335,3.449666666666667,0.155,7.619999885559082,0.9876666666666667,1,100.0,0.0,2.0,34445.0,2.0,34554.0,353.0
47,10000000.0,8.456666666666667,1.4853333333333332,0.14333333333333334,7.619999885559082,1.0146666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.5
51,10000000.0,8.713333333333333,1.5970000000000002,0.18666666666666668,8.0,1.0366666666666668,1,100.0,0.0,2.0,34314.0,2.0,34416.0,401.5
55,10000000.0,8.41,1.6693333333333333,0.17333333333333334,8.760000228881836,1.01,1,100.0,0.0,2.0,34338.0,2.0,34446.0,399.0
59,10000000.0,8.49,1.4473333333333331,0.16,8.760000228881836,1.01,1,100.0,0.0,2.0,34610.0,2.0,34728.0,454.6666666666667
63,10000000.0,8.44,2.2953333333333332,0.13,8.760000228881836,1.0146666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,333.0
67,10000000.0,8.38,1.5483333333333331,0.12666666666666668,2.9200000762939453,1.015,1,100.0,0.0,2.0,34291.0,2.0,34411.0,390.6666666666667
71,10000000.0,8.493333333333334,1.7260000000000002,0.17366666666666666,0.0,1.02,1,100.0,0.0,2.0,34385.0,2.0,34485.0,538.0
75,10000000.0,8.43,1.7263333333333335,0.15666666666666665,0.0,1.0066666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,397.6666666666667
79,10000000.0,8.4,2.0813333333333333,0.11866666666666666,0.0,1.0113333333333332,1,100.0,0.0,2.0,34385.0,2.0,34485.0,361.0
83,10000000.0,8.409999999999998,1.6476666666666666,0.17200000000000001,11.220000267028809,1.0103333333333333,1,100.0,0.0,1.0,34266.0,1.0,34376.0,357.5
87,10000000.0,8.303333333333333,1.9120000000000001,0.14733333333333334,11.220000267028809,1.006,1,100.0,0.0,2.0,33996.0,3.0,34103.0,389.0
91,10000000.0,8.14,2.985333333333333,0.16,11.220000267028809,0.984,1,100.0,0.0,2.0,34753.0,2.0,34867.0,409.5
95,10000000.0,8.203333333333333,2.4273333333333333,0.13333333333333333,11.220000267028809,0.9940000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.6666666666667
99,10000000.0,8.456666666666665,1.7606666666666666,0.15333333333333332,10.170000076293945,1.0170000000000001,1,100.0,0.0,2.0,34243.0,2.0,34346.0,381.5
103,10000000.0,8.093333333333334,2.4099999999999997,0.12266666666666666,10.170000076293945,0.9790000000000001,1,100.0,0.0,2.0,34468.0,2.0,34585.0,386.6666666666667
107,10000000.0,8.623333333333335,1.6623333333333334,0.19000000000000003,10.170000076293945,1.03,1,100.0,0.0,2.0,34267.0,2.0,34381.0,463.0
111,10000000.0,7.920000000000001,2.665,0.15,9.206666787465414,0.9583333333333334,1,100.0,0.0,2.0,34480.0,2.0,34589.0,417.6666666666667
119,10000000.0,8.45142857142857,2.117857142857143,0.16842857142857143,7.28000020980835,1.0164285714285717,1,100.0,0.0,2.0,34410.0,2.0,34515.0,313.1666666666667
123,10000000.0,8.436666666666667,1.4996666666666665,0.15966666666666665,7.28000020980835,1.0116666666666665,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.0
127,10000000.0,8.29,1.6653333333333336,0.18000000000000002,9.940000375111898,1.012,1,100.0,0.0,2.0,34445.0,2.0,34554.0,384.0
131,10000000.0,8.4,1.8636666666666668,0.1433333333333333,11.270000457763672,1.0163333333333333,1,100.0,0.0,2.0,34339.0,2.0,34446.0,390.0
135,10000000.0,8.213333333333333,1.6239999999999999,0.16,11.270000457763672,0.9936666666666668,1,100.0,0.0,1.0,34408.0,1.0,34520.0,427.0
139,10000000.0,8.306666666666667,3.4423333333333335,0.1516666666666667,11.270000457763672,1.0050000000000001,1,100.0,0.0,2.0,34303.0,2.0,34416.0,345.5
143,10000000.0,8.716666666666667,1.5783333333333334,0.15633333333333335,7.460000038146973,1.04,1,100.0,0.0,2.0,34267.0,2.0,34381.0,383.0
147,10000000.0,8.450000000000001,2.0726666666666667,0.18000000000000002,7.460000038146973,1.0066666666666666,1,100.0,0.0,2.0,34516.0,2.0,34619.0,452.0
151,10000000.0,8.433333333333334,3.2503333333333337,0.18000000000000002,7.460000038146973,1.0133333333333334,1,100.0,0.0,1.0,34373.0,1.0,34485.0,425.5
155,10000000.0,8.423333333333332,1.705,0.11966666666666666,7.460000038146973,1.0123333333333333,1,100.0,0.0,2.0,34303.0,2.0,34416.0,364.5
159,10000000.0,8.406666666666668,2.1626666666666665,0.1416666666666667,13.0600004196167,1.0090000000000001,1,100.0,0.0,2.0,34208.0,2.0,34311.0,375.0
167,10000000.0,8.379999999999999,2.184857142857143,0.17057142857142857,13.0600004196167,1.0078571428571428,1,100.0,0.0,1.0,34385.0,1.0,34485.0,283.0
