,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
11,2024-04-19 10:03:23+00:00,10M,2.5,5.234,0.77,10.0,1,0.305,2
12,2024-04-19 10:03:24+00:00,10M,1.99,6.223,0.74,10.0,1,0.243,2
13,2024-04-19 10:03:25+00:00,10M,2.37,2.737,0.79,10.0,1,0.29,2
14,2024-04-19 10:03:26+00:00,10M,2.66,4.963,0.78,10.0,1,0.325,2
15,2024-04-19 10:03:27+00:00,10M,776.0,10.991,0.65,10.0,1,0.0947,2
16,2024-04-19 10:03:28+00:00,10M,1.29,11.788,0.74,10.0,1,0.157,2
17,2024-04-19 10:03:29+00:00,10M,1.39,13.158,0.82,10.0,1,0.17,2
18,2024-04-19 10:03:30+00:00,10M,2.54,12.088,0.89,10.0,1,0.31,2
19,2024-04-19 10:03:31+00:00,10M,2.03,3.45,0.75,10.0,1,0.249,2
20,2024-04-19 10:03:32+00:00,10M,1.61,8.472,0.81,10.0,1,0.197,2
21,2024-04-19 10:03:33+00:00,10M,1.75,3.941,0.74,10.0,1,0.214,2
22,2024-04-19 10:03:34+00:00,10M,2.06,7.11,0.84,10.0,1,0.252,2
23,2024-04-19 10:03:35+00:00,10M,2.64,5.993,0.82,10.0,1,0.322,2
24,2024-04-19 10:03:36+00:00,10M,2.73,5.61,0.74,10.0,1,0.334,2
25,2024-04-19 10:03:37+00:00,10M,1.8,4.335,0.7,10.0,1,0.219,2
26,2024-04-19 10:03:38+00:00,10M,1.83,10.202,0.82,10.0,1,0.223,2
27,2024-04-19 10:03:39+00:00,10M,2.19,8.183,0.8,10.0,1,0.267,2
28,2024-04-19 10:03:40+00:00,10M,1.29,7.852,0.81,10.0,1,0.157,2
29,2024-04-19 10:03:41+00:00,10M,1.05,20.519,0.7,10.0,1,0.129,2
30,2024-04-19 10:03:42+00:00,10M,1.02,18.426,0.82,10.0,1,0.124,2
31,2024-04-19 10:03:43+00:00,10M,139.0,53.729,0.91,10.0,1,0.017,2
32,2024-04-19 10:03:44+00:00,10M,92.7,79.625,0.92,10.0,1,0.011300000000000001,2
33,2024-04-19 10:03:45+00:00,10M,1.19,7.892,0.84,10.0,1,0.146,2
34,2024-04-19 10:03:46+00:00,10M,1.25,5.463,0.89,10.0,1,0.153,2
35,2024-04-19 10:03:47+00:00,10M,2.54,6.436,0.94,10.0,1,0.31,2
36,2024-04-19 10:03:48+00:00,10M,753.0,9.923,0.78,10.0,1,0.09190000000000001,2
