,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
6929,2024-04-04 10:03:54+00:00,100,0,2,34268,2,34376
6930,2024-04-04 10:03:58+00:00,100,0,2,34303,2,34416
6931,2024-04-04 10:04:03+00:00,100,0,2,34445,2,34554
6932,2024-04-04 10:04:06+00:00,100,0,2,34303,2,34416
6933,2024-04-04 10:04:10+00:00,100,0,2,34339,2,34446
6934,2024-04-04 10:04:14+00:00,100,0,2,34374,2,34485
6935,2024-04-04 10:04:18+00:00,100,0,0,34372,0,34485
6936,2024-04-04 10:04:23+00:00,100,0,0,34383,0,34485
6937,2024-04-04 10:04:26+00:00,100,0,2,34339,2,34446
6938,2024-04-04 10:04:30+00:00,100,0,2,34374,2,34485
6939,2024-04-04 10:04:34+00:00,100,0,1,34373,1,34485
6940,2024-04-04 10:04:38+00:00,100,0,2,34303,2,34416
6941,2024-04-04 10:04:43+00:00,100,0,0,34372,0,34481
6942,2024-04-04 10:04:46+00:00,100,0,2,29925,2,30012
6943,2024-04-04 10:04:50+00:00,100,0,2,34374,2,34485
6944,2024-04-04 10:04:54+00:00,100,0,2,34268,2,34381
6945,2024-04-04 10:04:59+00:00,100,0,0,34136,0,34242
6946,2024-04-04 10:05:02+00:00,100,0,1,34822,1,34932
6947,2024-04-04 10:05:06+00:00,100,0,2,34303,2,34416
6948,2024-04-04 10:05:10+00:00,100,0,2,34374,2,34485
6949,2024-04-04 10:05:14+00:00,100,0,2,34303,3,34411
6950,2024-04-04 10:05:18+00:00,100,0,2,34409,2,34520
6951,2024-04-04 10:05:22+00:00,100,0,1,34337,1,34450
6952,2024-04-04 10:05:26+00:00,100,0,1,34385,1,34485
6953,2024-04-04 10:05:30+00:00,100,0,2,34338,2,34446
6954,2024-04-04 10:05:34+00:00,100,0,2,34374,2,34485
6955,2024-04-04 10:05:38+00:00,100,0,2,34374,2,34485
6956,2024-04-04 10:05:42+00:00,100,0,2,34374,2,34485
6957,2024-04-04 10:05:46+00:00,100,0,0,34336,0,34446
6958,2024-04-04 10:05:50+00:00,100,0,2,34339,2,34450
6959,2024-04-04 10:05:54+00:00,100,0,2,34244,2,34346
6960,2024-04-04 10:05:58+00:00,100,0,2,34539,2,34659
