,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_x,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr_y
0,2024-04-19 10:03:23+00:00,3,1,1279.0,2,10M,2.5,5.234,0.77,10.0,1,0.305,2,,,,,,,,,,,,,
1,2024-04-19 10:03:24+00:00,,,,,10M,1.99,6.223,0.74,10.0,1,0.243,2,,,,,,,,,,,,,
2,2024-04-19 10:03:25+00:00,,,,,10M,2.37,2.737,0.79,10.0,1,0.29,2,,,,,,,,,,,,,
3,2024-04-19 10:03:26+00:00,6,1,1125.0,3,10M,2.66,4.963,0.78,10.0,1,0.325,2,,,,,,,,,,,,,
4,2024-04-19 10:03:27+00:00,8,1,1908.0,1,10M,776.0,10.991,0.65,10.0,1,0.0947,2,,,,,,,,,,,,,
5,2024-04-19 10:03:28+00:00,,,,,10M,1.29,11.788,0.74,10.0,1,0.157,2,,,,,,,,,,,,,
6,2024-04-19 10:03:29+00:00,10,1,2098.0,1,10M,1.39,13.158,0.82,10.0,1,0.17,2,,,,,,,,,,,,,
7,2024-04-19 10:03:30+00:00,9,1,2075.0,2,10M,2.54,12.088,0.89,10.0,1,0.31,2,,,,,,,,,,,,,
8,2024-04-19 10:03:31+00:00,,,,,10M,2.03,3.45,0.75,10.0,1,0.249,2,,,,,,,,,,,,,
9,2024-04-19 10:03:32+00:00,11,1,1575.0,3,10M,1.61,8.472,0.81,10.0,1,0.197,2,,,,,,,,,,,,,
10,2024-04-19 10:03:33+00:00,,,,,10M,1.75,3.941,0.74,10.0,1,0.214,2,,,,,,,,,,,,,
11,2024-04-19 10:03:34+00:00,14,1,1649.0,2,10M,2.06,7.11,0.84,10.0,1,0.252,2,,,,,,,,,,,,,
12,2024-04-19 10:03:35+00:00,,,,,10M,2.64,5.993,0.82,10.0,1,0.322,2,,,,,,,,,,,,,
13,2024-04-19 10:03:36+00:00,,,,,10M,2.73,5.61,0.74,10.0,1,0.334,2,,,,,,,,,,,,,
14,2024-04-19 10:03:37+00:00,18,1,1517.0,1,10M,1.8,4.335,0.7,10.0,1,0.219,2,,,,,,,,,,,,,
15,2024-04-19 10:03:38+00:00,,,,,10M,1.83,10.202,0.82,10.0,1,0.223,2,,,,,,,,,,,,,
16,2024-04-19 10:03:39+00:00,,,,,10M,2.19,8.183,0.8,10.0,1,0.267,2,,,,,,,,,,,,,
17,2024-04-19 10:03:40+00:00,,,,,10M,1.29,7.852,0.81,10.0,1,0.157,2,,,,,,,,,,,,,
18,2024-04-19 10:03:41+00:00,,,,,10M,1.05,20.519,0.7,10.0,1,0.129,2,,,,,,,,,,,,,
19,2024-04-19 10:03:42+00:00,,,,,10M,1.02,18.426,0.82,10.0,1,0.124,2,,,,,,,,,,,,,
20,2024-04-19 10:03:43+00:00,,,,,10M,139.0,53.729,0.91,10.0,1,0.017,2,,,,,,,,,,,,,
21,2024-04-19 10:03:44+00:00,,,,,10M,92.7,79.625,0.92,10.0,1,0.011300000000000001,2,,,,,,,,,,,,,
22,2024-04-19 10:03:45+00:00,21,1,4913.0,3,10M,1.19,7.892,0.84,10.0,1,0.146,2,,,,,,,,,,,,,
23,2024-04-19 10:03:46+00:00,,,,,10M,1.25,5.463,0.89,10.0,1,0.153,2,,,,,,,,,,,,,
24,2024-04-19 10:03:47+00:00,,,,,10M,2.54,6.436,0.94,10.0,1,0.31,2,,,,,,,,,,,,,
25,2024-04-19 10:03:48+00:00,,,,,10M,753.0,9.923,0.78,10.0,1,0.09190000000000001,2,,,,,,,,,,,,,
26,2024-04-19 10:03:49+00:00,28,1,2141.0,2,10M,1.87,9.908,0.73,10.0,1,0.228,2,,,,,,,,,,,,,
27,2024-04-19 10:03:50+00:00,,,,,10M,2.26,8.637,0.88,10.0,1,0.276,2,,,,,,,,,,,,,
28,2024-04-19 10:03:51+00:00,,,,,10M,985.0,18.286,0.77,10.0,1,0.12,2,,,,,,,,,,,,,
29,2024-04-19 10:03:52+00:00,,,,,10M,1.16,5.12,0.77,10.0,1,0.141,2,,,,,,,,,,,,,
30,2024-04-19 10:03:53+00:00,,,,,10M,1.91,22.467,0.87,10.0,1,0.233,2,,,,,,,,,,,,,
31,2024-04-19 10:03:54+00:00,33,1,1952.0,2,10M,1.44,12.032,0.87,10.0,1,0.175,2,,,,,,,,,,,,,
32,2024-04-19 10:03:55+00:00,,,,,10M,718.0,21.159,0.84,10.0,1,0.0877,2,,,,,,,,,,,,,
33,2024-04-19 10:03:56+00:00,,,,,10M,2.26,5.515,0.83,10.0,1,0.276,2,,,,,,,,,,,,,
34,2024-04-19 10:03:57+00:00,38,1,1408.0,1,10M,1.97,6.494,0.88,10.0,1,0.24,2,,,,,,,,,,,,,
35,2024-04-19 10:03:58+00:00,37,1,1589.0,3,10M,1.9,10.718,0.76,10.0,1,0.232,2,,,,,,,,,,,,,
36,2024-04-19 10:03:59+00:00,38,1,1912.0,2,10M,1.18,12.589,0.81,10.0,1,0.144,2,,,,,,,,,,,,,
37,2024-04-19 10:04:00+00:00,,,,,10M,915.0,12.261,0.78,10.0,1,0.112,2,,,,,,,,,,,,,
38,2024-04-19 10:04:01+00:00,39,1,2472.0,3,10M,1.63,16.617,0.85,10.0,1,0.199,2,,,,,,,,,,,,,
39,2024-04-19 10:04:02+00:00,41,1,1903.0,2,10M,1.29,18.241,0.91,10.0,1,0.157,2,,,,,,,,,,,,,
40,2024-04-19 10:04:03+00:00,43,1,2444.0,1,10M,949.0,12.093,0.83,10.0,1,0.116,2,,,,,,,,,,,,,
41,2024-04-19 10:04:04+00:00,,,,,10M,1.73,17.168,0.86,10.0,1,0.211,2,,,,,,,,,,,,,
42,2024-04-19 10:04:05+00:00,,,,,10M,1.42,9.452,0.89,10.0,1,0.174,2,,,,,,,,,,,,,
43,2024-04-19 10:04:06+00:00,44,1,2327.0,3,10M,1.05,8.437,0.83,10.0,1,0.129,2,,,,,,,,,,,,,
44,2024-04-19 10:04:07+00:00,48,1,1118.0,1,10M,2.91,5.843,0.87,10.0,1,0.355,2,,,,,,,,,,,,,
45,2024-04-19 10:04:08+00:00,,,,,10M,2.78,8.473,0.72,10.0,1,0.339,2,,,,,,,,,,,,,
46,2024-04-19 10:04:09+00:00,,,,,10M,2.06,3.76,0.69,10.0,1,0.252,2,,,,,,,,,,,,,
47,2024-04-19 10:04:10+00:00,,,,,10M,1.9,5.609,0.79,10.0,1,0.232,2,,,,,,,,,,,,,
48,2024-04-19 10:04:11+00:00,,,,,10M,2.37,11.799,0.81,10.0,1,0.29,2,,,,,,,,,,,,,
49,2024-04-19 10:04:12+00:00,,,,,10M,2.34,6.806,0.75,10.0,1,0.286,2,,,,,,,,,,,,,
50,2024-04-19 10:04:13+00:00,,,,,10M,2.13,6.549,0.76,10.0,1,0.26,2,,,,,,,,,,,,,
51,2024-04-19 10:04:14+00:00,52,1,1667.0,3,10M,1.9,4.5,0.75,10.0,1,0.232,2,,,,,,,,,,,,,
52,2024-04-19 10:04:15+00:00,,,,,10M,1.69,6.843,0.85,10.0,1,0.206,2,,,,,,,,,,,,,
53,2024-04-19 10:04:16+00:00,57,1,1159.0,1,10M,2.54,6.206,0.79,10.0,1,0.31,2,,,,,,,,,,,,,
54,2024-04-19 10:04:17+00:00,58,1,1070.0,1,10M,2.88,5.659,0.78,10.0,1,0.352,2,,,,,,,,,,,,,
55,2024-04-19 10:04:18+00:00,,,,,10M,2.3,5.29,0.64,10.0,1,0.281,2,,,,,,,,,,,,,
56,2024-04-19 10:04:19+00:00,,,,,10M,3.05,5.275,0.78,10.0,1,0.372,2,,,,,,,,,,,,,
57,2024-04-19 10:04:20+00:00,59,1,1139.0,3,10M,2.58,5.482,0.71,10.0,1,0.315,2,100,0,0,11465,0,11492,51,5,1,90,2024-04-19 10:04:20,1,1
58,2024-04-19 10:04:20+00:00,59,1,1139.0,3,10M,2.58,5.482,0.71,10.0,1,0.315,2,100,0,0,11453,0,11492,100,100,100,100,2024-04-19 10:04:20,1,2
59,2024-04-19 10:04:20+00:00,59,1,1139.0,3,10M,2.58,5.482,0.71,10.0,1,0.315,2,100,0,0,11430,0,11464,100,100,100,100,2024-04-19 10:04:20,1,3
60,2024-04-19 10:04:21+00:00,61,1,1337.0,1,10M,2.03,4.059,0.72,10.0,1,0.247,2,,,,,,,,,,,,,
61,2024-04-19 10:04:22+00:00,61,1,1120.0,3,10M,2.75,5.11,0.79,10.0,1,0.335,2,,,,,,,,,,,,,
62,2024-04-19 10:04:23+00:00,,,,,10M,2.57,3.579,0.68,10.0,1,0.314,2,,,,,,,,,,,,,
63,2024-04-19 10:04:24+00:00,65,1,1121.0,1,10M,2.71,4.61,0.77,10.0,1,0.331,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:04:24,1,1
64,2024-04-19 10:04:24+00:00,65,1,1121.0,1,10M,2.71,4.61,0.77,10.0,1,0.331,2,100,0,1,11454,1,11491,100,100,100,100,2024-04-19 10:04:24,1,2
65,2024-04-19 10:04:24+00:00,65,1,1121.0,1,10M,2.71,4.61,0.77,10.0,1,0.331,2,100,0,0,11417,0,11459,100,100,100,100,2024-04-19 10:04:24,1,3
66,2024-04-19 10:04:25+00:00,,,,,10M,2.41,4.924,0.73,10.0,1,0.294,2,,,,,,,,,,,,,
67,2024-04-19 10:04:26+00:00,66,1,1285.0,1,10M,2.75,4.867,0.75,10.0,1,0.335,2,,,,,,,,,,,,,
68,2024-04-19 10:04:27+00:00,,,,,10M,2.43,7.132,0.72,10.0,1,0.297,2,,,,,,,,,,,,,
69,2024-04-19 10:04:28+00:00,,,,,10M,2.27,5.254,0.72,10.0,1,0.277,2,,,,,,,,,,,,,
70,2024-04-19 10:04:29+00:00,,,,,10M,2.07,5.725,0.81,10.0,1,0.253,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:04:29,1,1
71,2024-04-19 10:04:29+00:00,,,,,10M,2.07,5.725,0.81,10.0,1,0.253,2,100,0,0,11454,0,11491,100,100,100,100,2024-04-19 10:04:29,1,2
72,2024-04-19 10:04:29+00:00,,,,,10M,2.07,5.725,0.81,10.0,1,0.253,2,100,0,2,11467,2,11499,100,100,100,100,2024-04-19 10:04:29,1,3
73,2024-04-19 10:04:30+00:00,,,,,10M,2.37,6.951,0.77,10.0,1,0.29,2,,,,,,,,,,,,,
74,2024-04-19 10:04:31+00:00,69,1,1295.0,3,10M,2.64,5.28,0.76,10.0,1,0.322,2,,,,,,,,,,,,,
75,2024-04-19 10:04:32+00:00,,,,,10M,2.91,3.296,0.72,10.0,1,0.355,2,,,,,,,,,,,,,
76,2024-04-19 10:04:33+00:00,,,,,10M,3.15,5.147,0.73,10.0,1,0.385,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:04:33,1,1
77,2024-04-19 10:04:33+00:00,,,,,10M,3.15,5.147,0.73,10.0,1,0.385,2,100,0,1,11490,1,11526,100,100,100,100,2024-04-19 10:04:33,1,2
78,2024-04-19 10:04:33+00:00,,,,,10M,3.15,5.147,0.73,10.0,1,0.385,2,100,0,0,11429,0,11464,100,100,100,100,2024-04-19 10:04:33,1,3
79,2024-04-19 10:04:34+00:00,,,,,10M,2.41,4.333,0.68,10.0,1,0.294,2,,,,,,,,,,,,,
80,2024-04-19 10:04:35+00:00,,,,,10M,2.78,6.956,0.75,10.0,1,0.339,2,,,,,,,,,,,,,
81,2024-04-19 10:04:36+00:00,,,,,10M,2.98,7.24,0.72,10.0,1,0.363,2,,,,,,,,,,,,,
82,2024-04-19 10:04:37+00:00,76,1,1165.0,2,10M,2.68,5.328,0.7,10.0,1,0.327,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:04:37,1,1
83,2024-04-19 10:04:37+00:00,76,1,1165.0,2,10M,2.68,5.328,0.7,10.0,1,0.327,2,100,0,0,11465,0,11492,100,100,100,100,2024-04-19 10:04:37,1,2
84,2024-04-19 10:04:37+00:00,76,1,1165.0,2,10M,2.68,5.328,0.7,10.0,1,0.327,2,100,0,0,11430,0,11464,100,100,100,100,2024-04-19 10:04:37,1,3
85,2024-04-19 10:04:38+00:00,77,1,1105.0,2,10M,2.71,6.393,0.75,10.0,1,0.331,2,,,,,,,,,,,,,
86,2024-04-19 10:04:39+00:00,79,1,1168.0,1,10M,2.61,10.226,0.73,10.0,1,0.318,2,,,,,,,,,,,,,
87,2024-04-19 10:04:40+00:00,,,,,10M,2.41,4.22,0.72,10.0,1,0.294,2,,,,,,,,,,,,,
88,2024-04-19 10:04:41+00:00,,,,,10M,2.37,4.754,0.75,10.0,1,0.29,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:04:41,1,1
89,2024-04-19 10:04:41+00:00,,,,,10M,2.37,4.754,0.75,10.0,1,0.29,2,100,0,0,11453,0,11492,100,100,100,100,2024-04-19 10:04:41,1,2
90,2024-04-19 10:04:41+00:00,,,,,10M,2.37,4.754,0.75,10.0,1,0.29,2,100,0,0,11417,0,11459,100,100,100,100,2024-04-19 10:04:41,1,3
91,2024-04-19 10:04:42+00:00,81,1,1220.0,2,10M,2.48,9.785,0.77,10.0,1,0.303,2,,,,,,,,,,,,,
92,2024-04-19 10:04:43+00:00,,,,,10M,2.03,13.75,0.75,10.0,1,0.247,2,,,,,,,,,,,,,
93,2024-04-19 10:04:44+00:00,84,1,1340.0,1,10M,2.5,5.843,0.76,10.0,1,0.305,2,,,,,,,,,,,,,
94,2024-04-19 10:04:45+00:00,,,,,10M,1.61,12.311,0.8,10.0,1,0.199,2,,,,,,,,,,,,,
95,2024-04-19 10:04:46+00:00,84,1,1618.0,3,10M,2.17,5.976,0.77,10.0,1,0.26,2,,,,,,,,,,,,,
96,2024-04-19 10:04:47+00:00,85,1,1618.0,2,10M,1.87,8.611,0.83,10.0,1,0.228,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:04:47,1,1
97,2024-04-19 10:04:47+00:00,85,1,1618.0,2,10M,1.87,8.611,0.83,10.0,1,0.228,2,100,0,0,11489,0,11526,100,100,100,100,2024-04-19 10:04:47,1,2
98,2024-04-19 10:04:47+00:00,85,1,1618.0,2,10M,1.87,8.611,0.83,10.0,1,0.228,2,100,0,0,11465,0,11499,100,100,100,100,2024-04-19 10:04:47,1,3
99,2024-04-19 10:04:48+00:00,86,1,1597.0,2,10M,1.83,19.957,0.8,10.0,1,0.223,2,,,,,,,,,,,,,
100,2024-04-19 10:04:49+00:00,87,1,1845.0,2,10M,1.11,12.546,0.8,10.0,1,0.136,2,,,,,,,,,,,,,
101,2024-04-19 10:04:50+00:00,87,1,2070.0,3,10M,1.63,10.537,0.78,10.0,1,0.199,2,,,,,,,,,,,,,
102,2024-04-19 10:04:51+00:00,,,,,10M,1.32,15.685,0.89,10.0,1,0.161,2,,,,,,,,,,,,,
103,2024-04-19 10:04:52+00:00,,,,,10M,1.08,9.482,0.82,10.0,1,0.132,2,,,,,,,,,,,,,
104,2024-04-19 10:04:53+00:00,,,,,10M,1.28,10.114,0.88,10.0,1,0.157,2,,,,,,,,,,,,,
105,2024-04-19 10:04:54+00:00,93,1,1277.0,2,10M,2.49,7.6,0.88,10.0,1,0.303,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:04:54,1,1
106,2024-04-19 10:04:54+00:00,93,1,1277.0,2,10M,2.49,7.6,0.88,10.0,1,0.303,2,100,0,0,11454,0,11491,100,100,100,100,2024-04-19 10:04:54,1,2
107,2024-04-19 10:04:54+00:00,93,1,1277.0,2,10M,2.49,7.6,0.88,10.0,1,0.303,2,100,0,0,11430,0,11464,100,100,100,100,2024-04-19 10:04:54,1,3
108,2024-04-19 10:04:55+00:00,,,,,10M,1.9,8.447,0.75,10.0,1,0.232,2,,,,,,,,,,,,,
109,2024-04-19 10:04:56+00:00,,,,,10M,1.99,4.83,0.77,10.0,1,0.243,2,,,,,,,,,,,,,
110,2024-04-19 10:04:57+00:00,96,1,1744.0,1,10M,1.53,10.155,0.83,10.0,1,0.187,2,,,,,,,,,,,,,
111,2024-04-19 10:04:58+00:00,,,,,10M,2.43,6.304,0.82,10.0,1,0.297,2,,,,,,,,,,,,,
112,2024-04-19 10:04:59+00:00,,,,,10M,1.3,9.086,0.82,10.0,1,0.158,2,,,,,,,,,,,,,
