,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,test_number
14,2024-04-15 09:09:32+00:00,13,2,1469.0,3,10M,2.16,7.21,0.78,10.0,1,0.26,1,100.0,0.0,2.0,34338.0,0.0,11482.0,51.0,6.0,1.0,88.0,2.0
30,2024-04-15 09:09:48+00:00,31,2,1363.0,2,10M,2.14,7.71,0.78,10.0,1,0.26,3,100.0,0.0,2.0,34445.0,0.0,11517.0,51.0,6.0,1.0,88.0,2.0
35,2024-04-15 09:09:53+00:00,36,2,1355.0,2,10M,2.12,6.56,0.75,10.0,1,0.26,3,100.0,0.0,2.0,34409.0,0.0,11505.0,51.0,6.0,1.0,88.0,2.0
50,2024-04-15 09:10:08+00:00,49,2,1454.0,3,10M,2.26,6.88,0.78,10.0,1,0.28,3,100.0,0.0,0.0,34371.0,0.0,11494.0,51.0,6.0,1.0,88.0,2.0
70,2024-04-15 09:10:28+00:00,72,2,1263.67,1,10M,2.43,7.21,0.77,10.0,1,0.3,3,100.0,0.0,2.0,34374.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
75,2024-04-15 09:10:33+00:00,75,2,1273.0,2,10M,2.45,8.8,0.77,10.0,1,0.3,3,100.0,0.0,2.0,34374.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
84,2024-04-15 09:10:42+00:00,85,2,1392.0,1,10M,2.43,7.4,0.73,10.0,1,0.3,3,100.0,0.0,0.0,34384.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
89,2024-04-15 09:10:47+00:00,89,2,1184.25,2,10M,2.56,6.99,0.76,10.0,1,0.31,3,100.0,0.0,2.0,34374.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
103,2024-04-15 09:11:01+00:00,102,2,1487.0,2,10M,2.22,7.95,0.77,10.0,1,0.27,3,100.0,0.0,2.0,34315.0,0.0,11470.0,51.0,5.0,1.0,90.0,2.0
136,2024-04-15 09:11:34+00:00,135,2,1226.5,2,10M,2.45,7.44,0.76,10.0,1,0.3,3,100.0,0.0,1.0,34337.0,0.0,11480.0,51.0,5.0,1.0,90.0,2.0
140,2024-04-15 09:11:38+00:00,141,2,1133.0,1,10M,2.82,5.68,0.73,10.0,1,0.34,3,100.0,0.0,2.0,34385.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
164,2024-04-15 09:12:02+00:00,161,2,1270.0,3,10M,2.26,7.64,0.76,10.0,1,0.28,3,100.0,0.0,0.0,34372.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
168,2024-04-15 09:12:06+00:00,168,2,1280.0,1,10M,2.4,7.41,0.76,10.0,1,0.29,3,100.0,0.0,2.0,34362.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
188,2024-04-15 09:12:26+00:00,184,2,1308.5,3,10M,2.23,6.85,0.78,10.0,1,0.27,3,100.0,0.0,1.0,34373.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
197,2024-04-15 09:12:35+00:00,193,2,1188.5,3,10M,2.5,6.81,0.75,10.0,1,0.3,3,100.0,0.0,3.0,34363.0,1.0,11493.0,51.0,5.0,1.0,90.0,2.0
202,2024-04-15 09:12:40+00:00,200,2,1492.0,2,10M,2.21,9.06,0.77,10.0,1,0.27,3,100.0,0.0,2.0,34374.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
233,2024-04-15 09:13:11+00:00,228,2,1469.67,3,10M,2.19,7.43,0.79,10.0,1,0.27,3,100.0,0.0,0.0,34348.0,0.0,11480.0,51.0,5.0,1.0,90.0,2.0
238,2024-04-15 09:13:16+00:00,236,2,1610.5,2,10M,2.01,9.64,0.8,10.0,1,0.25,3,100.0,0.0,3.0,34363.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
252,2024-04-15 09:13:30+00:00,247,2,1224.67,3,10M,2.36,5.78,0.78,10.0,1,0.29,3,100.0,0.0,1.0,34302.0,0.0,11469.0,51.0,5.0,1.0,90.0,2.0
257,2024-04-15 09:13:35+00:00,254,2,1223.67,2,10M,2.77,5.53,0.72,10.0,1,0.34,3,100.0,0.0,2.0,34445.0,0.0,11517.0,51.0,5.0,1.0,90.0,2.0
282,2024-04-15 09:14:00+00:00,279,2,1619.67,2,10M,2.04,5.79,0.77,10.0,1,0.25,3,100.0,0.0,2.0,34362.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
298,2024-04-15 09:14:16+00:00,294,2,1417.5,2,10M,1.98,6.35,0.81,10.0,1,0.24,3,100.0,0.0,0.0,34360.0,0.0,11494.0,51.0,5.0,1.0,90.0,2.0
316,2024-04-15 09:14:34+00:00,310,2,1563.0,3,10M,2.02,7.76,0.78,10.0,1,0.25,3,100.0,0.0,2.0,34339.0,0.0,11480.0,51.0,5.0,1.0,90.0,2.0
328,2024-04-15 09:14:46+00:00,321,2,1779.0,3,10M,1.68,8.31,0.79,10.0,1,0.2,3,100.0,0.0,3.0,34375.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
334,2024-04-15 09:14:52+00:00,331,2,1691.0,1,10M,2.0,9.21,0.8,10.0,1,0.24,3,100.0,0.0,3.0,34375.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
340,2024-04-15 09:14:58+00:00,333,2,1722.67,3,10M,1.77,10.81,0.8,10.0,1,0.22,3,100.0,0.0,3.0,34328.0,0.0,11480.0,51.0,5.0,1.0,90.0,2.0
359,2024-04-15 09:15:17+00:00,354,2,1564.0,2,10M,2.02,9.84,0.79,10.0,1,0.25,3,100.0,0.0,2.0,34374.0,0.0,11493.0,51.0,5.0,1.0,90.0,2.0
