,_time,CARR.WBCQIDist,DRB.AirIfDelayUl/s,DRB.PdcpSduVolumeUL_Filter,DRB.RlcDelayUl,DRB.UEThpUl,RRC.ConnEstabSucc,RRC.ConnMean,RRU.PrbAvailUl,RRU.PrbTotUl,SM.PDUSessionSetupFail,SM.PDUSessionSetupReq,TB.ErrTotalNbrUl,TB.TotNbrUl,session
0,2024-03-28 12:26:28+00:00,27300,105,20,0,900,100,0,0,0,0,0,100,0,117
1,2024-03-28 12:26:29+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
2,2024-03-28 12:26:30+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3,2024-03-28 12:26:31+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
4,2024-03-28 12:26:32+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
5,2024-03-28 12:26:33+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
6,2024-03-28 12:26:34+00:00,27300,105,20,0,1000,100,0,0,0,0,0,100,0,117
7,2024-03-28 12:26:35+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
8,2024-03-28 12:26:36+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
9,2024-03-28 12:26:37+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
10,2024-03-28 12:26:38+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
11,2024-03-28 12:26:39+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
12,2024-03-28 12:26:40+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
13,2024-03-28 12:26:41+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
14,2024-03-28 12:26:42+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
15,2024-03-28 12:26:43+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
16,2024-03-28 12:26:44+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
17,2024-03-28 12:26:45+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
18,2024-03-28 12:26:46+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
19,2024-03-28 12:26:48+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
20,2024-03-28 12:26:49+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
21,2024-03-28 12:26:50+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
22,2024-03-28 12:26:51+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
23,2024-03-28 12:26:52+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
24,2024-03-28 12:26:53+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
25,2024-03-28 12:26:55+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
26,2024-03-28 12:26:56+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
27,2024-03-28 12:26:57+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
28,2024-03-28 12:26:58+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
29,2024-03-28 12:26:59+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
30,2024-03-28 12:27:00+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
31,2024-03-28 12:27:01+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
32,2024-03-28 12:27:02+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
33,2024-03-28 12:27:03+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
34,2024-03-28 12:27:04+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
35,2024-03-28 12:27:05+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
36,2024-03-28 12:27:06+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
37,2024-03-28 12:27:07+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
38,2024-03-28 12:27:08+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
39,2024-03-28 12:27:09+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
40,2024-03-28 12:27:10+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
41,2024-03-28 12:27:11+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
42,2024-03-28 12:27:12+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
43,2024-03-28 12:27:13+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
44,2024-03-28 12:27:14+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
45,2024-03-28 12:27:15+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
46,2024-03-28 12:27:16+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
47,2024-03-28 12:27:17+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
48,2024-03-28 12:27:18+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
49,2024-03-28 12:27:19+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
50,2024-03-28 12:27:20+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
51,2024-03-28 12:27:21+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
52,2024-03-28 12:27:22+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
53,2024-03-28 12:27:23+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
54,2024-03-28 12:27:24+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
55,2024-03-28 12:27:25+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
56,2024-03-28 12:27:26+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
57,2024-03-28 12:27:27+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
58,2024-03-28 12:27:28+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
59,2024-03-28 12:27:29+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
60,2024-03-28 12:27:30+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
61,2024-03-28 12:27:31+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
62,2024-03-28 12:27:32+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
63,2024-03-28 12:27:33+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
64,2024-03-28 12:27:34+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
65,2024-03-28 12:27:35+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
66,2024-03-28 12:27:36+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
67,2024-03-28 12:27:37+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
68,2024-03-28 12:27:38+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
69,2024-03-28 12:27:39+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
70,2024-03-28 12:27:40+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
71,2024-03-28 12:27:41+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
72,2024-03-28 12:27:42+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
73,2024-03-28 12:27:43+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
74,2024-03-28 12:27:44+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
75,2024-03-28 12:27:45+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
76,2024-03-28 12:27:46+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
77,2024-03-28 12:27:47+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
78,2024-03-28 12:27:48+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
79,2024-03-28 12:27:49+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
80,2024-03-28 12:27:50+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
81,2024-03-28 12:27:51+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
82,2024-03-28 12:27:52+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
83,2024-03-28 12:27:53+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
84,2024-03-28 12:27:54+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
85,2024-03-28 12:27:55+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
86,2024-03-28 12:27:56+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
87,2024-03-28 12:27:57+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
88,2024-03-28 12:27:58+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
89,2024-03-28 12:27:59+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
90,2024-03-28 12:28:00+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
91,2024-03-28 12:28:01+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
92,2024-03-28 12:28:02+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
93,2024-03-28 12:28:03+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
94,2024-03-28 12:28:04+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
95,2024-03-28 12:28:05+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
96,2024-03-28 12:28:06+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
97,2024-03-28 12:28:07+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
98,2024-03-28 12:28:08+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
99,2024-03-28 12:28:09+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
100,2024-03-28 12:28:10+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
101,2024-03-28 12:28:11+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
102,2024-03-28 12:28:12+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
103,2024-03-28 12:28:13+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
104,2024-03-28 12:28:14+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
105,2024-03-28 12:28:15+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
106,2024-03-28 12:28:16+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
107,2024-03-28 12:28:18+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
108,2024-03-28 12:28:19+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
109,2024-03-28 12:28:20+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
110,2024-03-28 12:28:21+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
111,2024-03-28 12:28:23+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
112,2024-03-28 12:28:24+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
113,2024-03-28 12:28:25+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
114,2024-03-28 12:28:26+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
115,2024-03-28 12:28:27+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
116,2024-03-28 12:28:28+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
117,2024-03-28 12:28:29+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
118,2024-03-28 12:28:30+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
119,2024-03-28 12:28:31+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
120,2024-03-28 12:28:32+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
121,2024-03-28 12:28:33+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
122,2024-03-28 12:28:34+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
123,2024-03-28 12:28:35+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
124,2024-03-28 12:28:36+00:00,27300,105,20,0,900,100,0,0,0,0,0,100,0,117
125,2024-03-28 12:28:37+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
126,2024-03-28 12:28:38+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
127,2024-03-28 12:28:39+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
128,2024-03-28 12:28:40+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
129,2024-03-28 12:28:41+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
130,2024-03-28 12:28:42+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
131,2024-03-28 12:28:43+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
132,2024-03-28 12:28:44+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
133,2024-03-28 12:28:45+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
134,2024-03-28 12:28:46+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
135,2024-03-28 12:28:47+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
136,2024-03-28 12:28:48+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
137,2024-03-28 12:28:49+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
138,2024-03-28 12:28:50+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
139,2024-03-28 12:28:51+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
140,2024-03-28 12:28:52+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
141,2024-03-28 12:28:53+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
142,2024-03-28 12:28:54+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
143,2024-03-28 12:28:55+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
144,2024-03-28 12:28:56+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
145,2024-03-28 12:28:57+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
146,2024-03-28 12:28:58+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
147,2024-03-28 12:28:59+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
148,2024-03-28 12:29:00+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
149,2024-03-28 12:29:01+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
150,2024-03-28 12:29:02+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
151,2024-03-28 12:29:03+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
152,2024-03-28 12:29:04+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
153,2024-03-28 12:29:05+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
154,2024-03-28 12:29:06+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
155,2024-03-28 12:29:07+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
156,2024-03-28 12:29:08+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
157,2024-03-28 12:29:09+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
158,2024-03-28 12:29:10+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
159,2024-03-28 12:29:11+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
160,2024-03-28 12:29:12+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
161,2024-03-28 12:29:13+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
162,2024-03-28 12:29:14+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
163,2024-03-28 12:29:15+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
164,2024-03-28 12:29:16+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
165,2024-03-28 12:29:17+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
166,2024-03-28 12:29:18+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
167,2024-03-28 12:29:19+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
168,2024-03-28 12:29:20+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
169,2024-03-28 12:29:21+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
170,2024-03-28 12:29:22+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
171,2024-03-28 12:29:23+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
172,2024-03-28 12:29:24+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
173,2024-03-28 12:29:25+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
174,2024-03-28 12:29:26+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
175,2024-03-28 12:29:27+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
176,2024-03-28 12:29:28+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
177,2024-03-28 12:29:29+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
178,2024-03-28 12:29:30+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
179,2024-03-28 12:29:31+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
180,2024-03-28 12:29:32+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
181,2024-03-28 12:29:33+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
182,2024-03-28 12:29:34+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
183,2024-03-28 12:29:35+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
184,2024-03-28 12:29:36+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
185,2024-03-28 12:29:37+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
186,2024-03-28 12:29:38+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
187,2024-03-28 12:29:40+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
