_time,seq_nr,time_latency,ue_id
2024-04-02 15:11:17+00:00, 9, 233, ue01
2024-04-02 15:11:18+00:00, 10, 60.5, ue01
2024-04-02 15:11:19+00:00, 11, 25.5, ue01
2024-04-02 15:11:20+00:00, 12, 326, ue01
2024-04-02 15:11:21+00:00, 13, 163, ue01
2024-04-02 15:11:22+00:00, 14, 176, ue01
2024-04-02 15:11:23+00:00, 15, 36.0, ue01
2024-04-02 15:11:24+00:00, 16, 30.7, ue01
2024-04-02 15:11:25+00:00, 17, 29.5, ue01
2024-04-02 15:11:26+00:00, 18, 32.3, ue01
2024-04-02 15:11:27+00:00, 19, 25.8, ue01
2024-04-02 15:11:28+00:00, 20, 25.7, ue01
2024-04-02 15:11:29+00:00, 21, 96.9, ue01
2024-04-02 15:11:30+00:00, 22, 24.4, ue01
2024-04-02 15:11:31+00:00, 23, 223, ue01
2024-04-02 15:11:32+00:00, 24, 28.6, ue01
2024-04-02 15:11:37+00:00, 25, 4248, ue01
2024-04-02 15:11:38+00:00, 30, 98.2, ue01
2024-04-02 15:11:39+00:00, 31, 83.0, ue01
2024-04-02 15:11:40+00:00, 32, 35.9, ue01
2024-04-02 15:11:41+00:00, 33, 24.7, ue01
2024-04-02 15:11:42+00:00, 34, 237, ue01
2024-04-02 15:11:43+00:00, 35, 392, ue01
2024-04-02 15:11:47+00:00, 39, 481, ue01
2024-04-02 15:11:48+00:00, 40, 388, ue01
2024-04-02 15:11:49+00:00, 41, 506, ue01
2024-04-02 15:11:50+00:00, 42, 326, ue01
2024-04-02 15:11:52+00:00, 44, 358, ue01
2024-04-02 15:11:54+00:00, 46, 365, ue01
2024-04-02 15:11:55+00:00, 47, 379, ue01
2024-04-02 15:11:56+00:00, 48, 309, ue01
2024-04-02 15:11:57+00:00, 49, 388, ue01
2024-04-02 15:11:59+00:00, 51, 265, ue01
2024-04-02 15:12:01+00:00, 53, 278, ue01
2024-04-02 15:12:04+00:00, 56, 397, ue01
2024-04-02 15:12:06+00:00, 58, 391, ue01
2024-04-02 15:12:07+00:00, 59, 382, ue01
2024-04-02 15:12:10+00:00, 62, 466, ue01
2024-04-02 15:12:11+00:00, 63, 384, ue01
