_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
2024-04-02 15:11:22+00:00,100,0,1,23132,1,23210
2024-04-02 15:11:24+00:00,100,0,1,16649,1,16705
2024-04-02 15:11:26+00:00,100,0,0,17618,0,17684
2024-04-02 15:11:28+00:00,100,0,1,19263,1,19323
2024-04-02 15:11:29+00:00,100,0,1,18814,1,18873
2024-04-02 15:11:31+00:00,100,0,1,19713,1,19781
2024-04-02 15:11:38+00:00,100,0,4,23775,5,23855
2024-04-02 15:11:40+00:00,100,0,0,16530,0,16587
2024-04-02 15:11:43+00:00,100,0,2,22411,2,22476
2024-04-02 15:11:47+00:00,100,0,2,34372,2,34485
2024-04-02 15:11:51+00:00,100,0,2,34338,2,34450
2024-04-02 15:11:55+00:00,100,0,2,34337,2,34446
2024-04-02 15:11:59+00:00,100,0,2,34209,2,34311
2024-04-02 15:12:03+00:00,100,0,2,34539,2,34659
2024-04-02 15:12:07+00:00,100,0,2,34278,2,34381
2024-04-02 15:12:11+00:00,100,0,2,34373,2,34480
2024-04-02 15:12:15+00:00,100,0,2,34374,2,34485
2024-04-02 15:12:19+00:00,100,0,2,34373,2,34485
2024-04-02 15:12:23+00:00,100,0,2,34338,2,34450
2024-04-02 15:12:27+00:00,100,0,2,34374,2,34480
2024-04-02 15:12:31+00:00,100,0,3,34373,3,34485
2024-04-02 15:12:35+00:00,100,0,2,34386,2,34485
2024-04-02 15:12:39+00:00,100,0,2,34303,2,34416
2024-04-02 15:12:43+00:00,100,0,2,34372,2,34481
2024-04-02 15:12:47+00:00,100,0,2,34374,2,34485
2024-04-02 15:12:51+00:00,100,0,2,34337,2,34450
2024-04-02 15:12:55+00:00,100,0,2,34314,2,34423
2024-04-02 15:12:59+00:00,100,0,2,34374,2,34480
2024-04-02 15:13:03+00:00,100,0,2,34374,2,34485
2024-04-02 15:13:07+00:00,100,0,2,34374,2,34485
2024-04-02 15:13:11+00:00,100,0,2,34349,2,34450
2024-04-02 15:13:15+00:00,100,0,2,34362,2,34481
2024-04-02 15:13:19+00:00,100,0,2,34385,2,34485
2024-04-02 15:13:23+00:00,100,0,2,34337,2,34450
2024-04-02 15:13:27+00:00,100,0,2,34338,2,34450
2024-04-02 15:13:31+00:00,100,0,2,34374,2,34480
2024-04-02 15:13:35+00:00,100,0,2,34373,2,34485
2024-04-02 15:13:39+00:00,100,0,2,34338,2,34450
2024-04-02 15:13:43+00:00,100,0,2,34351,2,34450
2024-04-02 15:13:47+00:00,100,0,2,34362,2,34480
2024-04-02 15:13:51+00:00,100,0,2,34384,2,34485
2024-04-02 15:13:55+00:00,100,0,2,34338,2,34450
2024-04-02 15:13:59+00:00,100,0,2,34338,2,34450
2024-04-02 15:14:03+00:00,100,0,2,34372,2,34481
2024-04-02 15:14:07+00:00,100,0,2,34374,2,34485
2024-04-02 15:14:11+00:00,100,0,2,34372,2,34485
2024-04-02 15:14:15+00:00,100,0,2,34348,2,34450
2024-04-02 15:14:19+00:00,100,0,2,34374,2,34480
2024-04-02 15:14:23+00:00,100,0,2,34303,2,34416
2024-04-02 15:14:27+00:00,100,0,2,34374,2,34485
